retention_in_hour,count
0, 10170069
0, 10981362
0, 12360486
0, 13391472
0, 1395941
0, 15186600
0, 16850190
0, 18144223
0, 19199626
0, 20065362
0, 22917449
0, 24539016
0, 25714016
0, 2663396
0, 26821164
0, 28002923
0, 28855757
0, 29724647
0, 31106377
0, 32129716
0, 33182724
0, 34210414
0, 3496243
0, 35263527
0, 36371506
0, 37059866
0, 4644635
0, 5566728
0, 6702056
0, 7812830
0, 9161554
1, 10197459
1, 10935189
1, 110364
1, 11426189
1, 11865248
1, 121722
1, 12364242
1, 12665108
1, 12945175
1, 131410
1, 13549872
1, 139626
1, 14002945
1, 14382014
1, 147155
1, 14783690
1, 15171684
1, 155097
1, 15591787
1, 1581796
1, 15837173
1, 1890852
1, 189604
1, 196338
1, 20047
1, 203346
1, 211292
1, 216704
1, 222363
1, 2288448
1, 229274
1, 234763
1, 241711
1, 248576
1, 255416
1, 263889
1, 2677184
1, 269174
1, 27180
1, 3113264
1, 33528
1, 3573815
1, 38785
1, 4174330
1, 4605192
1, 47689
1, 4879433
1, 5320972
1, 56170
1, 5822489
1, 66154
1, 6998517
1, 711322
1, 74263
1, 8068032
1, 81259
1, 8569493
1, 87824
1, 8978230
1, 9294104
1, 93775
2, 1150326
2, 119
2, 1385417
2, 143
2, 1618336
2, 166
2, 190
2, 1925216
2, 214
2, 2171530
2, 238
2, 2506932
2, 262
2, 2828193
2, 286
2, 3028740
2, 308
2, 3253607
2, 331
2, 3498793
2, 355
2, 372519
2, 379
2, 3962722
2, 403
2, 427
2, 451
2, 47
2, 475
2, 4820121
2, 499
2, 5090121
2, 523
2, 537
2, 5374259
2, 561
2, 5619781
2, 585
2, 609
2, 6165227
2, 633
2, 6441391
2, 657
2, 6788162
2, 681
2, 705
2, 7057181
2, 71
2, 718
2, 7367582
2, 7586149
2, 7771356
2, 8023378
2, 8270645
2, 8535255
2, 8782216
2, 9042667
2, 9323715
2, 95
2, 9510098
2, 960201
3, 1123090
3, 1397576
3, 1575416
3, 1840459
3, 2038278
3, 2132294
3, 2315422
3, 2486155
3, 2714878
3, 2918908
3, 3159093
3, 3345633
3, 3471157
3, 3889662
3, 4051745
3, 405882
3, 4275786
3, 4465814
3, 4659497
3, 4788776
3, 4881732
3, 5058898
3, 5227390
3, 5421517
3, 5584199
3, 5759197
3, 5941744
3, 6032055
3, 631305
3, 736352
3, 949392
4, 1032908
4, 1167812
4, 1394667
4, 1575550
4, 1661609
4, 1804799
4, 2036908
4, 2358035
4, 2526991
4, 256205
4, 2674467
4, 2839883
4, 2929222
4, 3171336
4, 3391750
4, 3613222
4, 3779690
4, 3923315
4, 4021991
4, 4105198
4, 422160
4, 4242884
4, 4393114
4, 4555616
4, 4696800
4, 4834748
4, 4962802
4, 5035970
4, 518606
4, 688463
4, 851018
5, 1204349
5, 1378772
5, 1461765
5, 1560552
5, 1691754
5, 2058912
5, 226230
5, 2283027
5, 2406573
5, 2553161
5, 2656633
5, 2853432
5, 3032717
5, 3281086
5, 3418759
5, 3538019
5, 3635454
5, 3714674
5, 373797
5, 3811726
5, 3947676
5, 4071572
5, 4196365
5, 4331500
5, 4429972
5, 4516249
5, 454653
5, 575725
5, 725477
5, 880826
5, 994317
6, 1017760
6, 1147611
6, 1237129
6, 1322951
6, 1443904
6, 156683
6, 1860081
6, 2146799
6, 2256631
6, 2381724
6, 2489488
6, 2834505
6, 2924918
6, 3155825
6, 316828
6, 3292052
6, 3405473
6, 3485877
6, 3571541
6, 3655813
6, 3771101
6, 3876616
6, 393588
6, 3993410
6, 4108833
6, 4207444
6, 4285520
6, 483466
6, 590798
6, 715112
6, 816045
7, 1019255
7, 109919
7, 1112709
7, 1209327
7, 1340517
7, 1538316
7, 1613058
7, 1727745
7, 1810730
7, 2219475
7, 2280343
7, 2452055
7, 256220
7, 2571876
7, 2667678
7, 2742123
7, 2828437
7, 2903208
7, 2993520
7, 3083882
7, 3191717
7, 323899
7, 3289398
7, 3383358
7, 3442239
7, 412323
7, 498690
7, 619493
7, 715109
7, 822378
7, 942718
8, 1068249
8, 1156319
8, 1231861
8, 1369216
8, 1452228
8, 1540605
8, 1627924
8, 1853809
8, 1926398
8, 2054675
8, 2167513
8, 2263705
8, 2314663
8, 2407229
8, 2482670
8, 254955
8, 2570726
8, 2667651
8, 2760402
8, 2850667
8, 2939519
8, 2995301
8, 319357
8, 404165
8, 473277
8, 569285
8, 660918
8, 816544
8, 899528
8, 94118
8, 974049
9, 1003067
9, 1094304
9, 1159730
9, 1260615
9, 1357252
9, 1436266
9, 1515956
9, 1603081
9, 2016485
