retention_in_hour,count
0, 64683
1, 33238
2, 24193
3, 36456
4, 11059
5, 3813
6, 2127
7, 57951
8, 23710
9, 26970
10, 85535
11, 13221
12, 8546
13, 10579
14, 14432
15, 30067
16, 50186
17, 6591
18, 182449
19, 31939
20, 27278
21, 56679
22, 31391
23, 65076
24, 42156
25, 566
26, 1084
27, 1132
28, 768
29, 436
30, 751
31, 8835
32, 621
33, 834
34, 892
35, 421
36, 5257
37, 166
38, 3244
39, 483
40, 165064
41, 40453
42, 6693
43, 1766
44, 2704
45, 1515
46, 10354
47, 6141
48, 1621
49, 263
50, 532
51, 250
52, 413
53, 184
54, 122
55, 1767
56, 26888
57, 18172
58, 298503
59, 2211
60, 4421
61, 573
62, 25476
63, 1643
64, 17753
65, 623
66, 803
67, 359
68, 315
69, 6091
70, 934
71, 1738
72, 2922
73, 413
74, 93
75, 300
76, 158
77, 452
78, 47
79, 509
80, 62
81, 716
82, 75
83, 10292
84, 1278
85, 1637
86, 158
87, 341
88, 343
89, 180
90, 69
91, 501
92, 164
93, 3986
94, 525
95, 1473
96, 1026
97, 3972
98, 3822
99, 71
100, 27
101, 47
102, 39
103, 65911
104, 48
105, 14869
106, 143
107, 51
108, 205
109, 270
110, 251
111, 73
112, 219
113, 79
114, 123
115, 1339
116, 719
117, 390
118, 740
119, 708
120, 937
121, 118
122, 691
123, 308
124, 80
125, 391
126, 73
127, 415
128, 296
129, 692
130, 73
131, 126
132, 313
133, 3753
134, 183
135, 435
136, 3718
137, 360
138, 554
139, 394
140, 340
141, 558
142, 401
143, 277
144, 335
145, 92
146, 365
147, 267
148, 74
149, 85
150, 228
151, 4765
152, 66
153, 30
154, 47
155, 50
156, 208
157, 1519
158, 235
159, 571
160, 1185
161, 291
162, 1125
163, 234
164, 256
165, 500
166, 1413
167, 656
168, 1171
169, 149
170, 1295
171, 438
172, 340
173, 177
174, 38
175, 24748
176, 53
177, 12
178, 22
179, 26
180, 45
181, 1455
182, 41
183, 259
184, 18144
185, 3395
186, 8157
187, 87
188, 86
189, 692
190, 3149
191, 2056
192, 6412
193, 758
194, 181
195, 179
196, 97
197, 44305
198, 127
199, 37841
200, 147
201, 15
202, 53
203, 56
204, 65
205, 72
206, 3613
207, 486
208, 8042
209, 1738
210, 905
211, 403
212, 105
213, 919
214, 111
215, 242
216, 150
217, 145
218, 56
219, 44
220, 14
221, 37
222, 25
223, 916
224, 26
225, 117
226, 7
227, 1692
228, 53
229, 3167
230, 799
231, 410
232, 1579
233, 102
234, 71
235, 300
236, 254
237, 555
238, 1625
239, 489
240, 710
241, 905
242, 102
243, 97
244, 46
245, 716
246, 23
247, 19
248, 116
249, 1767
250, 70
251, 199
252, 217
253, 161
254, 1165
255, 141451
256, 675
257, 464
258, 544
259, 674
260, 469
261, 356
262, 582
263, 2533
264, 359196
265, 1071578
266, 138
267, 33588
268, 999
269, 52
270, 58
271, 767
272, 60155
273, 2907
274, 651
275, 235
276, 153
277, 33
278, 90
279, 4650
280, 1195
281, 32
282, 69
283, 464
284, 159
285, 126
286, 144
287, 474
288, 339
289, 172
290, 21231
291, 142
292, 80
293, 113
294, 84
295, 69
296, 98
297, 20
298, 10
299, 20
300, 80
301, 27
302, 73
303, 84
304, 483
305, 405
306, 151
307, 22645
308, 5228
309, 96
310, 86
311, 47
312, 499
313, 56
314, 28
315, 20
316, 331
317, 11
318, 16
319, 22333
320, 217
321, 4
322, 5
323, 14
324, 166
325, 26
326, 127
327, 12
328, 6
329, 8
330, 13
331, 21
332, 17
333, 680
334, 150
335, 448
336, 121
337, 74
338, 62
339, 14
340, 15
341, 22
342, 5
343, 352
344, 10
345, 291
346, 465
347, 2
348, 5
349, 38
350, 624
351, 44
352, 556
353, 6
354, 7
355, 4664
356, 42
357, 74
358, 114
359, 47
360, 628
361, 33
362, 41
363, 38
364, 32
365, 46
366, 36
367, 7040
368, 42
369, 33
370, 74
371, 256
372, 215
373, 2273
374, 33
375, 490
376, 301
377, 54
378, 45
379, 50
380, 69
381, 330
382, 2091
383, 94
384, 57
385, 14
386, 23
387, 26
388, 43
389, 104
390, 16
391, 409
392, 7
393, 9779
394, 15412
395, 506672
396, 162
397, 884
398, 92
399, 2001
400, 45
401, 68
402, 34
403, 154
404, 43
405, 60
406, 43
407, 74
408, 17
409, 21
410, 60
411, 4
412, 49
413, 14
414, 4
415, 45818
416, 49
417, 2
418, 11
419, 176
420, 401
421, 68
422, 287
423, 288
424, 276
425, 124
426, 4374
427, 133
428, 232
