retention_in_hour,count
0, 274
1, 1234
2, 1975
3, 3672
4, 4984
5, 6257
6, 7844
7, 8931
8, 9744
9, 8499
10, 9865
11, 13183
12, 13082
13, 15099
14, 3785
15, 11319
16, 12939
17, 11457
18, 15136
19, 14580
20, 9513
21, 15474
22, 17972
23, 16175
24, 14027
25, 18091
26, 16360
27, 13482
28, 13419
29, 13288
30, 14953
31, 17453
32, 19624
33, 19021
34, 21260
35, 20588
36, 17549
37, 12644
38, 22920
39, 19479
40, 17614
41, 19303
42, 13103
43, 11391
44, 12644
45, 9010
46, 15880
47, 17285
48, 13708
49, 15881
50, 20902
51, 19177
52, 22532
53, 22029
54, 22505
55, 20393
56, 24360
57, 21637
58, 19013
59, 18538
60, 8274
61, 22933
62, 23428
63, 18859
64, 13676
65, 26250
66, 22412
67, 20931
68, 19597
69, 19016
70, 9092
71, 9990
72, 11400
73, 10924
74, 15174
75, 9252
76, 9958
77, 8364
78, 18547
79, 11876
80, 17633
81, 23974
82, 17864
83, 19243
84, 15978
85, 23073
86, 20102
87, 16970
88, 26019
89, 21506
90, 24294
91, 23845
92, 20392
93, 19398
94, 19364
95, 24646
96, 16390
97, 27109
98, 18439
99, 19713
100, 23076
101, 19338
102, 25107
103, 25602
104, 6955
105, 10277
106, 8310
107, 27541
108, 26883
109, 17163
110, 26760
111, 25991
112, 12643
113, 8451
114, 18309
115, 25098
116, 20998
117, 23552
118, 24458
119, 15051
120, 16542
121, 18723
122, 26639
123, 19331
124, 9569
125, 12966
126, 12998
127, 8964
128, 13059
129, 7238
130, 12588
131, 13088
132, 19779
133, 13284
134, 12675
135, 12616
136, 9732
137, 12581
138, 8292
139, 18472
140, 20588
141, 15331
142, 12167
143, 15778
144, 8385
145, 24419
146, 21351
147, 18226
148, 18018
149, 7780
150, 22374
151, 18766
152, 22112
153, 16034
154, 16967
155, 26052
156, 17378
157, 16707
158, 21192
159, 15300
160, 22985
161, 20617
162, 17857
163, 25056
164, 18214
165, 25095
166, 24416
167, 24709
168, 15332
169, 26503
170, 23362
171, 16805
172, 23716
173, 26977
174, 23813
175, 26790
176, 19684
177, 27842
178, 23587
179, 16359
180, 28769
181, 24003
182, 24740
183, 27395
184, 16256
185, 15590
186, 29728
187, 27026
188, 33918
189, 31553
190, 1660
191, 8074
192, 7466
193, 9888
194, 5464
195, 10168
196, 6366
197, 24474
198, 30215
199, 25737
200, 28163
201, 15239
202, 27266
203, 30096
204, 26253
205, 30208
206, 16772
207, 11877
208, 14944
209, 15568
210, 8511
211, 30208
212, 27530
213, 28297
214, 30592
215, 11911
216, 23048
217, 29704
218, 21766
219, 30212
220, 19333
221, 15201
222, 20386
223, 9669
224, 29321
225, 31232
226, 26124
227, 26626
228, 16770
229, 13603
230, 10308
231, 12036
232, 9508
233, 7815
234, 9284
235, 12871
236, 12161
237, 12650
238, 11267
239, 11393
240, 7075
241, 10052
242, 10880
243, 12487
244, 12066
245, 8960
246, 12865
247, 29382
248, 14499
249, 12641
250, 13253
251, 11274
252, 10950
253, 12262
254, 13480
255, 12074
256, 11387
257, 14210
258, 6950
259, 22987
260, 11731
261, 1234
262, 1975
263, 3672
264, 4984
265, 6257
266, 7844
267, 8931
268, 9744
269, 8499
270, 9865
271, 13183
272, 13082
273, 15099
274, 3785
275, 11319
276, 12939
277, 11457
278, 15136
279, 14580
280, 9513
281, 15474
282, 17972
283, 16175
284, 14027
285, 18091
286, 16360
287, 13482
288, 13419
289, 13288
290, 14953
291, 17453
292, 19624
293, 19021
294, 21260
295, 20588
296, 17549
297, 12644
298, 22920
299, 19479
300, 17614
301, 19303
302, 13103
303, 11391
304, 12644
305, 9010
306, 15880
307, 17285
308, 13708
309, 15881
310, 20902
311, 19177
312, 22532
313, 22029
314, 22505
315, 20393
316, 24360
317, 21637
318, 19013
319, 18538
320, 8274
321, 22933
322, 23428
323, 18859
324, 13676
325, 26250
326, 22412
327, 20931
328, 19597
329, 19016
330, 9092
331, 9990
332, 11400
333, 10924
334, 15174
335, 9252
336, 9958
337, 8364
338, 18547
339, 11876
340, 17633
341, 23974
342, 17864
343, 19243
344, 15978
345, 23073
346, 20102
347, 16970
348, 26019
349, 21506
350, 24294
351, 23845
352, 20392
353, 19398
354, 19364
355, 24646
356, 16390
357, 27109
358, 18439
359, 19713
360, 23076
361, 19338
362, 25107
363, 25602
364, 6955
365, 10277
366, 8310
367, 27541
368, 26883
369, 17163
370, 26760
371, 25991
372, 12643
373, 8451
374, 18309
375, 25098
376, 20998
377, 23552
378, 24458
379, 15051
380, 16542
381, 18723
382, 26639
383, 19331
384, 9569
385, 12966
386, 12998
387, 8964
388, 13059
389, 7238
390, 12588
391, 13088
392, 19779
393, 13284
394, 12675
395, 12616
396, 9732
397, 12581
398, 8292
399, 18472
400, 20588
401, 15331
402, 12167
403, 15778
404, 8385
405, 24419
406, 21351
407, 18226
408, 18018
409, 7780
410, 22374
411, 18766
412, 22112
413, 16034
414, 16967
415, 26052
416, 17378
417, 16707
418, 21192
419, 15300
420, 22985
421, 20617
422, 17857
423, 25056
424, 18214
425, 25095
426, 24416
427, 24709
428, 15332
429, 26503
430, 23362
431, 16805
432, 23716
433, 26977
434, 23813
435, 26790
436, 19684
437, 27842
438, 23587
439, 16359
440, 28769
441, 24003
442, 24740
443, 27395
444, 16256
445, 15590
446, 29728
447, 27026
448, 33918
449, 31553
450, 1660
451, 8074
452, 7466
453, 9888
454, 5464
455, 10168
456, 6366
457, 24474
458, 30215
459, 25737
460, 28163
461, 15239
462, 27266
463, 30096
464, 26253
465, 30208
466, 16772
467, 11877
468, 14944
469, 15568
470, 8511
471, 30208
472, 27530
473, 28297
474, 30592
475, 11911
476, 23048
477, 29704
478, 21766
479, 30212
480, 19333
481, 15201
482, 20386
483, 9669
484, 29321
485, 31232
486, 26124
487, 26626
488, 16770
489, 13603
490, 10308
491, 12036
492, 9508
493, 7815
494, 9284
495, 12871
496, 12161
497, 12650
498, 11267
499, 11393
500, 7075
501, 10052
502, 10880
503, 12487
504, 12066
505, 8960
506, 12865
507, 29382
508, 14499
509, 12641
510, 13253
511, 11274
512, 10950
513, 12262
514, 13480
515, 12074
516, 11387
517, 14210
518, 6950
519, 22987
520, 11731
521, 1234
522, 1975
523, 3672
524, 4984
525, 6257
526, 7844
527, 8931
528, 9744
529, 8499
530, 9865
531, 13183
532, 13082
533, 15099
534, 3785
535, 11319
536, 12939
537, 11457
538, 15136
539, 14580
540, 9513
541, 15474
542, 17972
543, 16175
544, 14027
545, 18091
546, 16360
547, 13482
548, 13419
549, 13288
550, 14953
551, 17453
552, 19624
553, 19021
554, 21260
555, 20588
556, 17549
557, 12644
558, 22920
559, 19479
560, 17614
561, 19303
562, 13103
563, 11391
564, 12644
565, 9010
566, 15880
567, 17285
568, 13708
569, 15881
570, 20902
571, 19177
572, 22532
573, 22029
574, 22505
575, 20393
576, 24360
577, 21637
578, 19013
579, 18538
580, 8274
581, 22933
582, 23428
583, 18859
584, 13676
585, 26250
586, 22412
587, 20931
588, 19597
589, 19016
590, 9092
591, 9990
592, 11400
593, 10924
594, 15174
595, 9252
596, 9958
597, 8364
598, 18547
599, 11876
600, 17633
601, 23974
602, 17864
603, 19243
604, 15978
605, 23073
606, 20102
607, 16970
608, 26019
609, 21506
610, 24294
611, 23845
612, 20392
613, 19398
614, 19364
615, 24646
616, 16390
617, 27109
618, 18439
619, 19713
620, 23076
621, 19338
622, 25107
623, 25602
624, 6955
625, 10277
626, 8310
627, 27541
628, 26883
629, 17163
630, 26760
631, 25991
632, 12643
633, 8451
634, 18309
635, 25098
636, 20998
637, 23552
638, 24458
639, 15051
640, 16542
641, 18723
642, 26639
643, 19331
644, 9569
645, 12966
646, 12998
647, 8964
648, 13059
649, 7238
650, 12588
651, 13088
652, 19779
653, 13284
654, 12675
655, 12616
656, 9732
657, 12581
658, 8292
659, 18472
660, 20588
661, 15331
662, 12167
663, 15778
664, 8385
665, 24419
666, 21351
667, 18226
668, 18018
669, 7780
670, 22374
671, 18766
672, 22112
673, 16034
674, 16967
675, 26052
676, 17378
677, 16707
678, 21192
679, 15300
680, 22985
681, 20617
682, 17857
683, 25056
684, 18214
685, 25095
686, 24416
687, 24709
688, 15332
689, 26503
690, 23362
691, 16805
692, 23716
693, 26977
694, 23813
695, 26790
696, 19684
697, 27842
698, 23587
699, 16359
700, 28769
701, 24003
702, 24740
703, 27395
704, 16256
705, 15590
706, 29728
707, 27026
708, 33918
709, 31553
710, 1660
711, 8074
712, 7466
713, 9888
714, 5464
715, 10168
716, 6366
717, 24474
718, 30215
719, 25737
720, 512
