retention_in_hour,count
-1, 19
0, 1817406
1, 6346981
2, 1337718
3, 455628
4, 244136
5, 79815
6, 51775
7, 64453
8, 118627
9, 172609
10, 170444
11, 92582
12, 122118
13, 92179
14, 66840
15, 53613
16, 53347
17, 120866
18, 35550
19, 89486
20, 190179
21, 32121
22, 134478
23, 219146
24, 254257
25, 233319
26, 416689
27, 413786
28, 320412
29, 42663
30, 15727
31, 32392
32, 39821
33, 48356
34, 69199
35, 34975
36, 33989
37, 27239
38, 48435
39, 17785
40, 17796
41, 68576
42, 42615
43, 44558
44, 12947
45, 101861
46, 41660
47, 163063
48, 224131
49, 278011
50, 333150
51, 421663
52, 329545
53, 191902
54, 40020
55, 21927
56, 44957
57, 45872
58, 55663
59, 154088
60, 301971
61, 131121
62, 202231
63, 50360
64, 266983
65, 20711
66, 146098
67, 75098
68, 37229
69, 194008
70, 61698
71, 48058
72, 48957
73, 92031
74, 39454
75, 11422
76, 61943
77, 18319
78, 3522
79, 197407
80, 324438
81, 204794
82, 468990
83, 552613
84, 344568
85, 212235
86, 80738
87, 21161
88, 81253
89, 92398
90, 195513
91, 32317
92, 19035
93, 4635
94, 11004
95, 173084
96, 30739
97, 41769
98, 10214
99, 10986
100, 59033
101, 41670
102, 68373
103, 9764
104, 24351
105, 22640
106, 119849
107, 96105
108, 124969
109, 58509
110, 80617
111, 210308
112, 33079
113, 42456
114, 53276
115, 3719
116, 50210
117, 91758
118, 75603
119, 195794
120, 406499
121, 378478
122, 346573
123, 400856
124, 335413
125, 172583
126, 15437
127, 7803
128, 52943
129, 15256
130, 51997
131, 44163
132, 49275
133, 112891
134, 80901
135, 128978
136, 32555
137, 135682
138, 75188
139, 58182
140, 15069
141, 137826
142, 28999
143, 35668
144, 281193
145, 344784
146, 353952
147, 359561
148, 346853
149, 340361
150, 78191
151, 19021
152, 12552
153, 36244
154, 163273
155, 105620
156, 75924
157, 34716
158, 81772
159, 10709
160, 39874
161, 23209
162, 13713
163, 80905
164, 3179
165, 111998
166, 20275
167, 175614
168, 290452
169, 300025
170, 303644
171, 405059
172, 519279
173, 241734
174, 4610
175, 162201
176, 40853
177, 33633
178, 28481
179, 25768
180, 61518
181, 32552
182, 44760
183, 5388
184, 10946
185, 18678
186, 28879
187, 6647
188, 8065
189, 137488
190, 7413
191, 173033
192, 381929
193, 250012
194, 422456
195, 356377
196, 342103
197, 121767
198, 4505
199, 15239
200, 86024
201, 317494
202, 162925
203, 60472
204, 243151
205, 39877
206, 133099
207, 5664
208, 4210
209, 63229
210, 7021
211, 10625
212, 59970
213, 119468
214, 597
215, 27285
216, 281649
217, 268662
218, 309162
219, 37598
220, 140382
221, 51202
222, 9956
223, 8533
224, 6397
225, 15764
226, 27404
227, 7186
228, 6426
229, 10670
230, 7259
231, 20474
232, 3128
233, 2367
234, 2177
235, 6270
236, 1455
237, 751
238, 103855
239, 3495
240, 8202
241, 255710
242, 465073
243, 318180
244, 175276
245, 30745
246, 853
247, 5777
248, 2222
249, 20453
250, 5488
251, 51801
252, 84496
253, 35880
254, 30932
255, 37021
256, 12500
257, 37074
258, 18216
259, 3332
260, 5294
261, 195087
262, 29770
263, 40996
264, 275169
265, 375625
266, 352998
267, 370564
268, 376515
269, 295535
270, 65931
271, 10362
272, 7870
273, 58311
274, 71843
275, 180717
276, 188836
277, 69531
278, 111159
279, 107936
280, 36261
281, 47480
282, 37327
283, 30036
284, 36495
285, 192939
286, 49325
287, 9296
288, 234366
289, 257930
290, 210687
291, 215095
292, 299088
293, 266737
294, 190155
295, 10638
296, 5232
297, 24205
298, 83714
299, 65899
300, 78600
301, 55388
302, 22030
303, 67165
304, 27941
305, 21825
306, 12752
307, 43066
308, 17900
309, 97000
310, 25662
311, 1954
312, 148519
313, 164513
314, 331584
315, 240976
316, 225207
317, 264875
318, 3028
319, 2438
320, 9425
321, 32365
322, 42785
323, 45484
324, 38190
325, 7367
326, 32046
327, 50303
328, 38525
329, 26727
330, 67229
331, 56619
332, 13570
333, 158955
334, 22774
335, 66278
