retention_in_hour,count
0, 2063950
1, 391222
2, 139246
3, 121959
4, 54546
5, 73253
6, 61933
7, 73579
8, 55102
9, 42209
10, 30106
11, 49887
12, 12780
13, 15381
14, 48406
15, 23981
16, 13302
17, 11163
18, 14091
19, 24619
20, 11787
21, 50576
22, 15800
23, 14371
24, 252720
25, 10926
26, 49537
27, 12309
28, 14610
29, 12072
30, 7171
31, 10363
32, 15699
33, 10188
34, 24187
35, 11550
36, 5972
37, 7314
38, 10266
39, 8870
40, 5634
41, 43606
42, 11173
43, 6655
44, 4154
45, 11913
46, 9142
47, 8584
48, 18134
49, 6375
50, 4928
51, 10337
52, 4387
53, 8816
54, 8796
55, 5322
56, 14833
57, 6475
58, 15418
59, 8076
60, 6720
61, 30780
62, 11773
63, 13031
64, 9002
65, 8968
66, 15500
67, 8783
68, 11962
69, 10673
70, 4639
71, 11946
72, 35032
73, 6268
74, 3797
75, 28179
76, 5006
77, 2950
78, 2556
79, 7059
80, 15270
81, 30412
82, 22740
83, 8472
84, 2848
85, 1986
86, 5863
87, 10306
88, 2034
89, 4256
90, 3444
91, 1794
92, 6916
93, 15756
94, 131034
95, 40458
96, 30765
97, 40723
98, 5375
99, 3184
100, 9677
101, 52186
102, 27729
103, 7104
104, 12628
105, 4229
106, 19327
107, 6200
108, 5363
109, 5831
110, 21465
111, 5994
112, 2187
113, 19736
114, 2918
115, 4270
116, 2115
117, 4844
118, 2126
119, 4394
120, 37565
121, 3923
122, 1477
123, 30788
124, 1132
125, 584
126, 3046
127, 3087
128, 8782
129, 2709
130, 14186
131, 10420
132, 2196
133, 1668
134, 9573
135, 2828
136, 1167
137, 1706
138, 1212
139, 1928
140, 2474
141, 1771
142, 6074
143, 27961
144, 2383
145, 3322
146, 1564
147, 28797
148, 1469
149, 1551
150, 1061
151, 26959
152, 10514
153, 3936
154, 15699
155, 4857
156, 2292
157, 1628
158, 4519
159, 2443
160, 3194
161, 29813
162, 8266
163, 2655
164, 1996
165, 2339
166, 1403
167, 9571
168, 36359
169, 910
170, 510
171, 26271
172, 53
173, 233
174, 1498
175, 1898
176, 6554
177, 1960
178, 7405
179, 5275
180, 285
181, 358
182, 5346
183, 2424
184, 100
185, 34
186, 80
187, 472
188, 1581
189, 36408
190, 1185
191, 2625
192, 776
193, 324
194, 27109
195, 155
196, 2473
197, 465
198, 1851
199, 2786
200, 9189
201, 1015
202, 8825
203, 4999
204, 11
205, 559
206, 3203
207, 422
208, 16
209, 33070
210, 2328
211, 1541
212, 152
213, 942
214, 24
215, 4524
216, 1655
217, 295
218, 38
219, 357
220, 43
221, 421
222, 1265
223, 2308
224, 6647
225, 414
226, 6403
227, 3415
228, 32
229, 20618
230, 3482
231, 445
232, 1185
233, 1927
234, 15
235, 229
236, 231
237, 666
238, 40
239, 2324
240, 22402
241, 1590
243, 24333
244, 1900
245, 324
246, 7
247, 2282
248, 6113
249, 22796
250, 8979
251, 4124
252, 561
253, 442
254, 1647
255, 5220
256, 107
257, 531
258, 124
259, 485
260, 438
261, 10732
262, 115125
263, 36048
264, 19462
265, 37859
266, 3256
267, 1049
268, 5355
269, 45321
270, 24874
271, 5468
272, 8916
273, 554
274, 14349
275, 4059
276, 244
277, 2816
278, 18236
279, 3645
280, 1110
281, 18291
282, 493
283, 1922
284, 402
285, 1022
286, 1200
287, 2312
288, 33921
289, 1975
290, 107
291, 29150
292, 36
293, 16
294, 1021
295, 2054
296, 6783
297, 551
298, 11418
299, 9230
300, 834
301, 861
302, 7128
303, 1159
304, 145
305, 654
306, 11
307, 1158
308, 1359
309, 402
310, 2924
311, 26909
312, 1309
313, 675
314, 75
315, 27894
316, 70
317, 31
318, 16
319, 25927
320, 7561
321, 1691
322, 13172
323, 4017
324, 136
325, 1083
326, 3147
327, 917
328, 781
329, 25733
330, 4969
331, 1962
332, 1491
333, 472
334, 194
335, 3331
336, 27055
337, 910
338, 510
339, 26271
340, 53
341, 233
342, 1498
343, 1898
344, 6554
345, 1960
346, 7405
347, 5275
348, 285
349, 358
350, 5346
351, 2424
352, 100
353, 34
354, 80
355, 472
356, 1581
357, 36408
358, 1185
359, 2625
360, 776
361, 324
362, 27109
363, 155
364, 2473
365, 465
366, 1851
367, 2786
368, 9189
369, 1015
370, 8825
371, 4999
372, 11
373, 559
374, 3203
375, 422
376, 16
377, 33070
378, 2328
379, 1541
380, 152
381, 942
382, 24
383, 4524
384, 1655
385, 295
386, 38
387, 357
388, 43
389, 421
390, 1265
391, 2308
392, 6647
393, 414
394, 6403
395, 3415
396, 32
397, 20618
398, 3482
399, 445
400, 1185
401, 1927
402, 15
403, 229
404, 231
405, 666
406, 40
407, 2324
408, 22402
409, 1590
411, 24333
412, 1900
413, 324
414, 7
415, 2282
416, 6113
417, 22796
418, 8979
419, 4124
420, 561
421, 442
422, 1647
423, 5220
424, 107
425, 531
426, 124
427, 485
428, 438
429, 10732
430, 115125
431, 36048
432, 19462
433, 37859
434, 3256
435, 1049
436, 5355
437, 45321
438, 24874
439, 5468
440, 8916
441, 554
442, 14349
443, 4059
444, 244
445, 2816
446, 18236
447, 3645
448, 1110
449, 18291
450, 493
451, 1922
452, 402
453, 1022
454, 1200
455, 2312
456, 33921
457, 1975
458, 107
459, 29150
460, 36
461, 16
462, 1021
463, 2054
464, 6783
465, 551
466, 11418
467, 9230
468, 834
469, 861
470, 7128
471, 1159
472, 145
473, 654
474, 11
475, 1158
476, 1359
477, 402
478, 2924
479, 26909
480, 1309
481, 675
482, 75
483, 27894
484, 70
485, 31
486, 16
487, 25927
488, 7561
