retention_in_hour,count
0, 54861
1, 4534
2, 723
3, 4630
4, 4361
5, 3738
6, 864
7, 2245
8, 674
9, 1403
10, 473
11, 616
12, 132
13, 39
14, 627
15, 196
16, 2199
17, 801
18, 12997
19, 313
20, 5028
21, 2246
22, 214
23, 1087
24, 1165
25, 7659
26, 884
27, 116
28, 292
29, 776
30, 180
31, 349
32, 134
33, 92
34, 457
35, 130
36, 8
37, 22
38, 22
39, 2096
40, 776
41, 12
42, 10104
43, 43
44, 822
45, 136
46, 3877
47, 1376
48, 1875
49, 832
50, 344
51, 1892
52, 144
53, 24
54, 80
55, 1980
56, 72
57, 16
58, 5
59, 1112
60, 24
61, 100
62, 317
63, 4
64, 2130
65, 2485
66, 2402
67, 1177
68, 576
69, 184
70, 632
71, 1991
72, 492
73, 2108
74, 36
75, 2297
76, 382849
77, 200
78, 43
79, 30
80, 204
81, 946
82, 612
83, 203
84, 1
85, 2677
86, 74
87, 2048
88, 159
89, 994
90, 444
91, 1275
92, 467
93, 4443
94, 691
95, 1482
96, 223
97, 2819
98, 27
99, 315
100, 155
101, 792
102, 97
103, 9
104, 14
105, 1779
106, 956
107, 96
108, 12
109, 888
110, 15
111, 72
112, 165
113, 131
114, 110
115, 611
116, 378
117, 163
118, 746
119, 4461
120, 57
121, 401
122, 84
123, 213
124, 633
125, 1025
126, 1163
127, 1145
128, 18
129, 378
130, 8
131, 72
132, 8
133, 271
134, 343
135, 4
136, 189
138, 167
139, 752
140, 24
141, 13
142, 10
143, 1601
144, 25
145, 48
146, 101
147, 6653
148, 9
149, 813
150, 291
151, 220
152, 3215
153, 210
154, 16
155, 226
157, 94
158, 1
159, 9
160, 276
161, 94
162, 18
164, 789
165, 4
166, 160
167, 1357
168, 2314
171, 4072
172, 822
175, 1441
176, 200
178, 1
179, 18
182, 254
184, 100
185, 4
187, 1
188, 135
189, 1634
191, 841
192, 1
193, 5325
197, 104
199, 255
202, 1
203, 100
205, 2
206, 1
211, 1
214, 2140
215, 800
216, 255
223, 100
226, 1
232, 1269
233, 255
235, 1
237, 4
239, 1914
241, 100
243, 1926
244, 380137
245, 5
246, 10
248, 21
250, 272
251, 1
252, 1
253, 2193
254, 15
257, 816
259, 1049
261, 4211
262, 95
263, 1171
265, 1642
267, 254
273, 1546
274, 1
281, 99
282, 77
283, 593
284, 254
287, 4272
288, 9
294, 7
295, 1111
298, 1
301, 255
303, 3
304, 78
306, 30
307, 725
311, 786
312, 16
315, 5866
318, 254
320, 3212
322, 1
325, 78
326, 1
329, 80
332, 725
335, 1059
336, 492
339, 4072
340, 822
343, 1441
344, 200
346, 1
347, 18
350, 254
352, 100
353, 4
355, 1
356, 135
357, 1634
359, 841
360, 1
361, 5325
365, 104
367, 255
370, 1
371, 100
373, 2
374, 1
379, 1
382, 2140
383, 800
384, 255
391, 100
394, 1
400, 1269
401, 255
403, 1
405, 4
407, 1914
409, 100
411, 1926
412, 380137
413, 5
414, 10
416, 21
418, 272
419, 1
420, 1
421, 2193
422, 15
425, 816
427, 1049
429, 4211
430, 95
431, 1171
433, 1642
435, 254
441, 1546
442, 1
449, 99
450, 77
451, 593
452, 254
455, 4272
456, 9
462, 7
463, 1111
466, 1
469, 255
471, 3
472, 78
474, 30
475, 725
479, 786
480, 16
483, 5866
486, 254
488, 3212
490, 1
493, 78
494, 1
497, 80
500, 725
503, 1059
504, 492
507, 4072
508, 822
511, 1441
512, 200
514, 1
515, 18
518, 254
520, 100
521, 4
523, 1
524, 135
525, 1634
527, 841
528, 1
529, 5325
533, 104
535, 255
538, 1
539, 100
541, 2
542, 1
547, 1
550, 2140
551, 800
552, 255
559, 100
562, 1
568, 1269
569, 255
571, 1
573, 4
575, 1914
577, 100
579, 1926
580, 380137
581, 5
582, 10
584, 21
586, 272
587, 1
588, 1
589, 2193
590, 15
593, 816
595, 1049
597, 4211
598, 95
599, 1171
601, 1642
603, 254
609, 1546
610, 1
617, 99
618, 77
619, 593
620, 254
623, 4272
624, 9
630, 7
631, 1111
634, 1
637, 255
639, 3
640, 78
642, 30
643, 725
647, 786
648, 16
651, 5866
654, 254
656, 3212
658, 1
661, 78
662, 1
665, 80
668, 725
671, 1059
672, 492
675, 4072
676, 822
679, 1441
680, 200
682, 1
683, 18
686, 254
688, 100
689, 4
691, 1
692, 135
693, 1634
695, 841
696, 1
697, 5325
701, 104
703, 255
706, 1
707, 100
709, 2
710, 1
715, 1
718, 2140
719, 800
