retention_in_hour,count
0, 3077194
1, 1329575
2, 648447
3, 762753
4, 831794
5, 314403
6, 218825
7, 182871
8, 278894
9, 229556
10, 283649
11, 425555
12, 689647
13, 530103
14, 355504
15, 271097
16, 336166
17, 517091
18, 586438
19, 168246
20, 260603
21, 185590
22, 153155
23, 1089594
24, 1633801
25, 78729
26, 146695
27, 49390
28, 154190
29, 49920
30, 30361
31, 81970
32, 44297
33, 43457
34, 41809
35, 84562
36, 36312
37, 56711
38, 94241
39, 237201
40, 43602
41, 42275
42, 43823
43, 45449
44, 30388
45, 52429
46, 175479
47, 54707
48, 93043
49, 22998
50, 51939
51, 39205
52, 42063
53, 37717
54, 43900
55, 255994
56, 132176
57, 26112
58, 37382
59, 43602
60, 37330
61, 25106
62, 72432
63, 31738
64, 283142
65, 67356
66, 30509
67, 25223
68, 18187
69, 10429
70, 14570
71, 17868
72, 63468
73, 24809
74, 62707
75, 80882
76, 83930
77, 27675
78, 30964
79, 26524
80, 31879
81, 28581
82, 25653
83, 39126
84, 25560
85, 35816
86, 70243
87, 24294
88, 75541
89, 136486
90, 623991
91, 245578
92, 865945
93, 529341
94, 184068
95, 176979
96, 75199
97, 62525
98, 88307
99, 54397
100, 82620
101, 826354
102, 6308464
103, 84644
104, 39740
105, 75134
106, 29010
107, 25028
108, 31388
109, 23473
110, 69584
111, 69838
112, 222011
113, 438613
114, 118689
115, 110985
116, 204275
117, 405709
118, 566713
119, 137060
120, 94280
121, 164263
122, 122469
123, 44043
124, 34444
125, 29123
126, 35196
127, 20568
128, 19944
129, 26352
130, 30734
131, 57458
132, 20610
133, 29201
134, 72737
135, 252785
136, 113249
137, 59784
138, 233408
139, 470021
140, 199196
141, 341505
142, 153391
143, 38643
144, 26743
145, 23227
146, 45578
147, 42921
148, 38520
149, 692354
150, 36876
151, 39118
152, 31591
153, 26986
154, 27343
155, 23274
156, 23366
157, 138089
158, 53510
159, 32048
160, 25740
161, 73718
162, 169383
163, 796614
164, 727010
165, 64162
166, 30747
167, 1243835
168, 351174
169, 112385
170, 46857
171, 46765
172, 15746
173, 25289
174, 22810
175, 7075
176, 14621
177, 26821
178, 31650
179, 40032
180, 11784
181, 73100
182, 37423
183, 167306
184, 317274
185, 445917
186, 22109
187, 127521
188, 80132
189, 14393
190, 592151
191, 169081
192, 19512
193, 94510
194, 23563
195, 26857
196, 19875
197, 12142
198, 46128
199, 15365
200, 21637
201, 13185
202, 6497
203, 19624
204, 38908
205, 73334
206, 214259
207, 20330
208, 17646
209, 12548
210, 12386
211, 5419
212, 25957
213, 6117
214, 325
215, 61
216, 8
217, 20578
218, 19151
219, 16445
220, 12528
221, 22492
222, 14755
223, 9969
224, 6368
225, 7916
226, 26327
227, 15724
228, 13528
229, 54143
230, 18535
231, 209987
232, 31834
233, 9458
234, 5845
235, 4674
236, 68
237, 95
238, 8
239, 42899
240, 4741
241, 43062
242, 33125
243, 14837
244, 16528
245, 15991
246, 13322
247, 20341
248, 12044
249, 11452
250, 29114
251, 9954
252, 23672
253, 54003
254, 16424
