retention_in_hour,count
0, 219502
1, 172153
2, 161488
3, 42064
4, 47427
5, 21886
6, 14958
7, 23870
8, 15822
9, 25684
10, 14512
11, 12832
12, 9099
13, 12695
14, 7042
15, 6178
16, 8252
17, 8327
18, 7194
19, 9519
20, 4803
21, 17816
22, 5060
23, 18157
24, 17415
25, 2009
26, 5530
27, 6021
28, 9934
29, 3986
30, 213098
31, 3290
32, 2473
33, 2834
34, 8856
35, 1718
36, 2515
37, 1833
38, 4180
39, 3936
40, 8367
41, 2619
42, 2227
43, 3114
44, 6133
45, 2544
46, 17144
47, 2302
48, 7954
49, 3653
50, 2296
51, 4770
52, 5863
53, 3620
54, 4379
55, 3592
56, 808
57, 1534
58, 4034
59, 2879
60, 1587
61, 1806
62, 2240
63, 6427
64, 11372
65, 1324
66, 4115
67, 935
68, 3008
69, 2302
70, 838
71, 9218
72, 1817
73, 2361
74, 101723
75, 8612
76, 3801
77, 2552
78, 1828
79, 1134
80, 2279
81, 1865
82, 890
83, 527
84, 791
85, 2052
86, 7755
87, 1688
88, 11030
89, 5917
90, 5318
91, 4447
92, 5034
93, 3539
94, 10264
95, 8532
96, 4665
97, 11452
98, 104140
99, 4761
100, 4324
101, 9392
102, 3768
103, 2837
104, 2948
105, 2493
106, 3805
107, 5872
108, 2277
109, 1942
110, 3707
111, 3730
112, 2807
113, 14468
114, 5143
115, 2482
116, 2431
117, 2266
118, 2804
119, 13809
120, 1789
121, 2207
122, 105339
123, 4777
124, 4514
125, 3057
126, 6754
127, 5060
128, 10437
129, 3074
130, 368
131, 426
132, 4897
133, 11699
134, 8797
135, 7572
136, 8828
137, 13366
138, 14486
139, 4387
140, 870
141, 1435
142, 606
143, 1037
144, 1090
145, 567
146, 102063
147, 11121
148, 1818
149, 5271
150, 1553
151, 2032
152, 9695
153, 5986
154, 406
155, 944
156, 294
157, 1137
158, 1810
159, 974
160, 491
161, 3106
162, 548
163, 377
164, 822
165, 1586
166, 460
167, 4640
168, 3824
169, 11706
170, 107940
171, 7369
172, 494
173, 386
174, 586
175, 1939
176, 1572
177, 6439
178, 1906
179, 3305
180, 302
181, 2268
182, 1358
183, 1253
184, 244
185, 4170
186, 2
187, 296
188, 852
189, 7542
190, 1139
191, 10128
192, 8
193, 783
194, 2220
195, 2279
196, 6336
197, 338
198, 204753
199, 1
200, 3
202, 2
203, 284
204, 119
206, 861
208, 4097
209, 6
210, 19
211, 114
212, 9
215, 117
216, 4343
219, 1564
220, 263
225, 96
230, 961
232, 4666
234, 2565
236, 262
237, 122
239, 7866
242, 100700
243, 6486
244, 2464
245, 1620
246, 320
247, 25
248, 953
249, 1069
250, 54
251, 30
252, 71
253, 1327
254, 6260
255, 149
256, 7979
257, 5146
258, 4805
259, 4044
260, 3705
261, 2505
262, 9307
263, 7415
264, 3026
265, 10368
266, 103550
267, 3373
268, 3284
269, 8355
270, 2173
271, 1468
272, 1549
273, 1725
274, 1449
275, 5157
276, 1365
277, 1701
278, 2930
279, 1438
280, 1992
281, 13530
282, 4916
283, 1735
284, 1545
285, 1604
286, 2224
287, 12284
288, 1224
289, 649
290, 102937
291, 3985
292, 3964
293, 2864
294, 3781
295, 4628
296, 9634
297, 2092
298, 93
300, 4678
301, 11524
302, 8159
303, 6776
304, 8495
305, 12780
306, 14069
307, 4155
308, 7
309, 394
310, 273
311, 22
312, 1
313, 356
314, 101914
315, 9621
316, 1005
317, 5105
318, 281
319, 1446
320, 9468
321, 5866
322, 23
323, 324
324, 111
325, 1007
326, 1483
327, 38
328, 168
329, 2868
330, 354
331, 135
332, 342
333, 1183
334, 280
335, 4283
336, 2
337, 11706
338, 107940
339, 7369
340, 494
341, 386
342, 586
343, 1939
344, 1572
345, 6439
346, 1906
347, 3305
348, 302
349, 2268
350, 1358
351, 1253
352, 244
353, 4170
354, 2
355, 296
356, 852
357, 7542
358, 1139
359, 10128
360, 8
361, 783
362, 2220
363, 2279
364, 6336
365, 338
366, 204753
367, 1
368, 3
370, 2
371, 284
