retention_in_hour,count
0, 96088
1, 64110
2, 13932
3, 32093
4, 48518
5, 5066
6, 3991
7, 7717
8, 5513
9, 11092
10, 6588
11, 23069
12, 4801
13, 2825
14, 3350
15, 3364
16, 4481
17, 14428
18, 1761
19, 10987
20, 1990
21, 12435
22, 11236
23, 3278
24, 15049
25, 13655
26, 1285
27, 558
28, 3686
29, 10830
30, 709
31, 2256
32, 1097
33, 15391
34, 9421
35, 3156
36, 513
37, 5080
38, 9029
39, 1904
40, 1563
41, 1392
42, 5269
43, 421
44, 2374
45, 9428
46, 5048
47, 17069
48, 459
49, 816
50, 8716
51, 1567
52, 351
53, 1497
54, 7080
55, 6421
56, 715
57, 1331
58, 8598
59, 370
60, 159
61, 531
62, 1925
63, 1848
64, 6269
65, 8178
66, 13660
67, 504
68, 1868
69, 3412
70, 2600
71, 23734
72, 9973
73, 12063
74, 6321
75, 21473
76, 10734
77, 11200
78, 3429
79, 1207
80, 994
81, 2817
82, 2835
83, 219
84, 8789
85, 494
86, 1345
87, 1116
88, 2358
89, 899
90, 717
91, 2382
92, 11982
93, 397
94, 421
95, 2632
96, 113
97, 15981
98, 275
99, 2157
100, 3945
101, 257
102, 252
103, 1204
104, 46
105, 13705
106, 1204
107, 74
108, 44
109, 371
110, 3801
111, 1265
112, 221
113, 8294
114, 2923
115, 910
116, 69
117, 394
118, 13956
119, 9571
120, 81
121, 9246
122, 43
123, 13621
124, 303
125, 562
126, 748
127, 862
128, 1317
129, 802
130, 1365
131, 2464
132, 2929
133, 333
134, 2294
135, 152
136, 687
137, 789
138, 131
139, 334
140, 12
141, 3364
142, 9102
143, 14977
144, 6272
145, 3162
146, 374
147, 16525
148, 167
149, 4394
150, 1346
151, 1996
152, 16288
153, 9762
154, 2399
155, 486
156, 718
157, 1484
158, 2972
159, 734
160, 1035
161, 12946
162, 631
163, 1126
164, 1574
165, 1058
166, 768
167, 5911
168, 18855
169, 7
170, 13392
172, 1
173, 198
174, 746
176, 1886
177, 1211
178, 9273
179, 2
180, 319
181, 1485
182, 68
183, 12
184, 858
185, 2
186, 1
188, 9097
189, 1607
191, 710
192, 11117
194, 3
196, 6477
197, 207
198, 1047
200, 10240
201, 8883
202, 208
203, 106
204, 444
205, 4038
206, 1
207, 14
208, 985
209, 4237
210, 267
211, 1518
212, 344
213, 4113
214, 13096
215, 9
216, 426
217, 3971
218, 1157
219, 152
220, 432
221, 3446
222, 2381
223, 2
224, 469
225, 3054
227, 1
228, 251
229, 1162
231, 5671
232, 789
233, 11076
234, 11
235, 93
236, 647
237, 276
238, 15253
239, 150
240, 8766
241, 6133
242, 20929
243, 8336
244, 10163
245, 3369
246, 948
247, 296
248, 2381
249, 2456
250, 1
251, 8022
252, 402
253, 1216
254, 14
255, 1506
256, 791
257, 12
258, 1
259, 11609
260, 308
261, 257
262, 22
263, 11
264, 15561
265, 14
266, 1383
268, 31
269, 174
270, 857
272, 9085
273, 989
276, 299
277, 2561
278, 10
280, 7914
281, 10
282, 27
283, 2
284, 253
285, 12991
286, 8350
287, 1
288, 1978
289, 3
290, 10562
292, 226
293, 701
294, 782
295, 10
296, 400
297, 1129
299, 2777
300, 283
301, 1078
302, 10
304, 637
306, 1
308, 20
309, 8928
310, 14820
311, 6163
312, 879
313, 299
314, 16276
316, 207
317, 227
318, 892
319, 15471
320, 8327
321, 2244
323, 10
324, 407
325, 1113
326, 11
327, 997
328, 12875
329, 11
330, 403
332, 840
333, 191
334, 1029
335, 18855
336, 7
337, 13392
339, 1
340, 198
341, 746
343, 1886
344, 1211
345, 9273
346, 2
347, 319
348, 1485
349, 68
350, 12
351, 858
352, 2
353, 1
355, 9097
356, 1607
358, 710
359, 11117
361, 3
363, 6477
364, 207
365, 1047
367, 10240
368, 8883
369, 208
370, 106
371, 444
372, 4038
373, 1
374, 14
375, 985
376, 4237
377, 267
378, 1518
379, 344
380, 4113
381, 13096
382, 9
383, 426
384, 3971
385, 1157
386, 152
387, 432
388, 3446
389, 2381
390, 2
391, 469
392, 3054
394, 1
395, 251
396, 1162
398, 5671
399, 789
400, 11076
401, 11
402, 93
403, 647
404, 276
405, 15253
406, 150
407, 8766
408, 6133
409, 20929
410, 8336
411, 10163
412, 3369
413, 948
414, 296
415, 2381
416, 2456
417, 1
418, 8022
419, 402
420, 1216
421, 14
422, 1506
423, 791
424, 12
425, 1
426, 11609
427, 308
428, 257
429, 22
430, 11
431, 15561
432, 14
433, 1383
435, 31
436, 174
437, 857
439, 9085
440, 989
443, 299
444, 2561
445, 10
447, 7914
448, 10
449, 27
450, 2
451, 253
452, 12991
453, 8350
454, 1
455, 1978
456, 3
457, 10562
459, 226
460, 701
461, 782
462, 10
463, 400
464, 1129
466, 2777
467, 283
468, 1078
469, 10
471, 637
473, 1
475, 20
476, 8928
477, 14820
478, 6163
479, 879
480, 299
481, 16276
483, 207
484, 227
485, 892
486, 15471
487, 8327
488, 2244
490, 10
491, 407
492, 1113
493, 11
494, 997
495, 12875
496, 11
497, 403
499, 840
