retention_in_hour,count
0, 820689
1, 20011
2, 26294
3, 26373
4, 25915
5, 37312
6, 32232
7, 32410
8, 35796
9, 33107
10, 28610
11, 33135
12, 35303
13, 28680
14, 35540
15, 26561
16, 44514
17, 32295
18, 26270
19, 24516
20, 27748
21, 29473
22, 33184
23, 29175
24, 27234
25, 30960
26, 28150
27, 24823
28, 17368
29, 20316
30, 19233
31, 15838
32, 29511
33, 26699
34, 24708
35, 10016
36, 9311
37, 21112
38, 19679
39, 7682
40, 13419
41, 15183
42, 29685
43, 20630
44, 24045
45, 16300
46, 31273
47, 17428
48, 7762
49, 25463
50, 27168
51, 22185
52, 24574
53, 25332
54, 21143
55, 29528
56, 18844
57, 35175
58, 32961
59, 44087
60, 47797
61, 22457
62, 60121
63, 38056
64, 35688
65, 61663
66, 48843
67, 49475
68, 29882
69, 46510
70, 52292
71, 17851
72, 29174
73, 26815
74, 24267
75, 38838
76, 23877
77, 25300
78, 33810
79, 29787
80, 26914
81, 22832
82, 48091
83, 24345
84, 24118
85, 22051
86, 30970
87, 29055
88, 16339
89, 16838
90, 26868
91, 16478
92, 21091
93, 18243
94, 21817
95, 23038
96, 13252
97, 17939
98, 16439
99, 10544
100, 13519
101, 27458
102, 21064
103, 37460
104, 26099
105, 18425
106, 13528
107, 16263
108, 19230
109, 20433
110, 21274
111, 12526
112, 20964
113, 14422
114, 13784
115, 26037
116, 29316
117, 38635
118, 13538
119, 5681
120, 1073
121, 1431
122, 2353
123, 465
124, 574
125, 5659
126, 23
127, 2208
128, 2566
129, 2198
130, 1761
131, 1269
132, 484
133, 20
134, 62
135, 18
136, 404941
137, 10932
138, 10851
139, 10477
140, 7024
141, 11220
142, 7717
143, 6545
144, 9310
145, 5464
146, 6352
147, 9916
148, 7177
149, 7767
150, 6553
151, 9808
152, 6746
153, 5894
154, 7375
155, 4888
156, 9355
157, 6395
158, 5630
159, 9235
160, 5470
161, 5525
162, 6858
163, 6352
164, 3167
165, 1142
166, 3352
167, 1637
168, 5373
169, 2965
170, 85
171, 31
172, 546
173, 173
174, 1232
175, 662
176, 310
177, 1325
178, 1239
179, 3007
181, 5
182, 2955
183, 311
184, 27
185, 31
186, 118
188, 9
189, 32
190, 477
191, 3406
192, 60
193, 5265
194, 1403
195, 1347
196, 3596
197, 2700
198, 3007
199, 2305
200, 2553
201, 1566
202, 5104
203, 4272
204, 2010
205, 4533
206, 4522
207, 3251
208, 2310
209, 2584
210, 1693
211, 3280
212, 1341
213, 1869
214, 472
215, 1570
216, 2071
217, 1675
218, 1093
219, 2748
220, 1640
221, 3100
222, 2955
223, 2429
224, 1967
225, 1950
226, 4020
227, 4361
228, 2772
229, 1128
230, 1902
231, 3270
232, 2991
233, 1736
234, 3595
235, 1578
236, 1547
237, 3645
238, 3515
239, 2818
240, 3939
241, 2899
242, 1098
243, 1121
244, 3937
245, 1052
247, 50
248, 89
250, 1
251, 43
252, 3
254, 1
255, 2
272, 3285
273, 10932
274, 10851
275, 10477
276, 7024
277, 11220
278, 7717
279, 6545
280, 9310
281, 5464
282, 6352
283, 9916
284, 7177
285, 7767
286, 6553
287, 9808
288, 6746
289, 5894
290, 7375
291, 4888
292, 9355
293, 6395
294, 5630
295, 9235
296, 5470
297, 5525
298, 6858
299, 6352
300, 3167
301, 1142
302, 3352
303, 1637
304, 5373
305, 2965
306, 85
307, 31
308, 546
309, 173
310, 1232
311, 662
312, 310
313, 1325
314, 1239
315, 3007
317, 5
318, 2955
319, 311
320, 27
321, 31
322, 118
324, 9
325, 32
326, 477
327, 3406
328, 60
329, 5265
