retention_in_hour,count
0, 38304
1, 1729
2, 467
3, 1315
4, 49492
5, 969
6, 2705
7, 12976
8, 18670
9, 1216
10, 783
11, 56158
12, 1157
13, 61
14, 244
15, 14584
16, 175
17, 4641
18, 2106
19, 36769
20, 1244
21, 327
22, 1275
23, 1277
24, 149923
25, 11798
26, 11
27, 109
28, 2839
29, 34620
30, 15631
31, 170
32, 92
33, 58
34, 24
35, 6
36, 141157
37, 136
38, 139
39, 95
40, 15
41, 344
42, 50
43, 782
44, 50
45, 47
46, 3
47, 366
48, 7145
49, 62
50, 19
51, 175
52, 494
53, 16235
54, 67
55, 326
56, 108
57, 12
58, 54
59, 446
60, 146162
61, 477
62, 13
63, 10
64, 41
65, 67
66, 243
67, 5
68, 4
69, 20
71, 102
72, 178
73, 1253
74, 14
75, 115
76, 89
77, 26283
78, 183
79, 642
80, 97
81, 10
82, 5
83, 45
84, 42971
85, 5
86, 1
87, 47
88, 46
89, 1
90, 8
91, 1
92, 2
93, 3
95, 188
96, 15
97, 13
98, 8
99, 85
100, 317
101, 24309
102, 51
103, 595
104, 18
105, 6
106, 3
107, 43
108, 26207
109, 21
110, 101
111, 48
112, 46
113, 139
114, 267
115, 3
116, 2
117, 291
118, 2
119, 186
120, 40
121, 13
122, 9
123, 78
124, 452
125, 13199
126, 45
127, 414
128, 105
129, 6
130, 2
131, 2
132, 23128
133, 4
134, 4
135, 205
136, 91
137, 12
138, 7
139, 2
140, 4
141, 1
142, 38
143, 378
144, 11
145, 9
146, 49
147, 79
148, 442
149, 16131
150, 200
151, 515
152, 11
153, 68
154, 2
155, 6
156, 134469
157, 21
158, 6
159, 12
160, 7
161, 243
162, 33
163, 47
164, 4
165, 2
166, 55
167, 121
168, 109
169, 13
170, 21
171, 15
172, 346
173, 26369
175, 87
176, 313
177, 6
178, 2
179, 254
180, 30408
181, 13
183, 10
185, 1
186, 1
187, 3
188, 2
189, 4
191, 95
192, 2
193, 11
194, 10
195, 34
196, 347
197, 32752
198, 17449
199, 365
200, 5
201, 681
202, 52
203, 32
204, 126854
205, 20
206, 247
207, 144
208, 11
209, 32
210, 352
211, 6
212, 3
213, 3
214, 3
215, 3
216, 33
217, 9
218, 6
220, 349
223, 3
225, 1
226, 1
230, 1
232, 5
233, 41
234, 3
235, 5
239, 1
240, 164
241, 9
242, 17
243, 23
244, 346
245, 26241
247, 180
248, 26
249, 4
250, 3
251, 254
252, 134460
253, 390
254, 29
255, 34
256, 6
257, 279
258, 5
259, 4
260, 2
261, 3
262, 1
263, 1
265, 8
266, 19
267, 36
268, 357
269, 26312
270, 35
271, 159
272, 340
273, 199
274, 2
276, 139146
277, 28
278, 1
279, 238
280, 4
282, 44
283, 3
284, 11
285, 1290
287, 1
288, 20
289, 8
290, 18
291, 69
292, 374
293, 26066
294, 2
295, 641
296, 35
297, 6
298, 6
299, 253
300, 129904
301, 17
302, 241
303, 50
304, 181
305, 3
306, 45
307, 33
308, 25
309, 13
310, 2
311, 514
313, 8
314, 16
315, 13
316, 346
317, 26017
318, 4
319, 277
320, 63
321, 255
322, 5
323, 3
324, 127817
325, 39
326, 38
327, 170
328, 3
329, 54
330, 4
331, 236
332, 3
333, 1
335, 1
336, 1
337, 2
338, 16
339, 28
340, 358
341, 26289
343, 164
344, 65
345, 6
346, 257
347, 3
348, 159841
349, 471
350, 244
351, 8
352, 2
353, 2
354, 4
355, 82
356, 12
357, 40
359, 1
360, 71
362, 16
363, 13
364, 346
365, 35913
366, 12287
367, 4417
368, 1543
369, 2109
370, 36
371, 109
372, 159305
373, 34
374, 6
375, 18
376, 360
379, 1
380, 1
381, 1243
382, 4
383, 237
384, 3
385, 53
386, 14
387, 62
388, 348
389, 25930
391, 712
392, 534
393, 9
394, 5
395, 5
396, 175989
397, 44
398, 18
399, 3
400, 4
401, 30
402, 241
403, 7
404, 21
405, 4
410, 14
411, 13
412, 346
413, 26255
415, 331
416, 78
417, 3
418, 30
419, 44
420, 38650
421, 91
422, 4
423, 170
425, 12
426, 28
427, 1
429, 10
433, 1
434, 12
435, 8
436, 317
437, 24125
438, 4
439, 381
440, 143
441, 64
442, 5
443, 260
444, 147357
445, 409
446, 7
447, 112
448, 10
449, 4
450, 3
451, 236
452, 2
453, 2
455, 19
458, 15
459, 66
460, 348
461, 26014
462, 1
463, 566
464, 79
465, 177
466, 254
467, 3
468, 154652
469, 485
470, 8
471, 5
472, 235
473, 4
474, 3
475, 23
476, 3
480, 2
481, 4
482, 15
483, 64
484, 336
485, 26195
487, 657
488, 69
489, 4
490, 3007
491, 47
492, 176965
493, 448
494, 13
495, 148
496, 30
497, 22
498, 147
499, 1
503, 236
505, 4433
506, 16
507, 14
508, 380
509, 44746
510, 129
511, 146
512, 153
513, 78
514, 25
515, 726
516, 47302
517, 1127
518, 20
519, 184
520, 67
521, 88
522, 3
523, 2
524, 32364
525, 20
526, 8
527, 1249
528, 313
531, 9
532, 74
533, 2763
534, 34358
535, 15586
536, 132
537, 84
538, 3
541, 141118
542, 95
543, 92
544, 6
545, 2
546, 3
547, 2
548, 771
549, 2
550, 19
551, 3
552, 3
553, 2
554, 2
555, 17
556, 79
557, 406
558, 16029
559, 10
560, 304
561, 106
562, 2
563, 3
564, 438
565, 146147
566, 468
567, 13
568, 5
569, 3
570, 66
571, 238
572, 3
573, 3
574, 19
576, 5
578, 1241
579, 14
580, 39
582, 26073
583, 134
584, 607
585, 97
586, 5
587, 5
588, 4
589, 42955
590, 4
591, 1
592, 39
593, 1
603, 8
604, 9
605, 229
606, 24145
607, 9
608, 582
609, 17
610, 2
611, 3
612, 4
613, 26197
614, 15
615, 3
616, 31
618, 139
619, 260
622, 288
625, 28
627, 7
628, 3
629, 354
630, 13037
631, 3
632, 403
633, 87
634, 2
635, 2
636, 2
637, 23122
638, 4
639, 4
640, 204
641, 49
642, 10
651, 47
652, 4
653, 354
654, 15966
655, 61
656, 502
657, 11
658, 64
659, 2
660, 5
661, 134462
662, 21
663, 6
664, 12
665, 4
666, 242
667, 30
668, 43
669, 3
670, 2
671, 55
673, 6
675, 16
676, 13
677, 346
678, 26368
680, 86
681, 313
682, 4
683, 2
684, 253
685, 30403
686, 12
688, 10
694, 3
698, 3
699, 8
700, 33
701, 347
702, 32750
703, 17432
704, 355
706, 680
707, 52
708, 32
709, 126848
710, 19
711, 245
712, 144
713, 11
