retention_in_hour,count
0, 2253412
1, 2279225
2, 2215246
3, 2030487
4, 1619083
5, 1544897
6, 1503073
7, 1424741
8, 1295786
9, 1178534
10, 1062960
11, 420452
38, 263
52, 192
80, 1133
82, 12
83, 4
87, 2
88, 1991820
89, 2250335
90, 2214868
91, 2086413
92, 1638749
93, 1564639
94, 1516789
95, 1429632
96, 1313280
97, 1194484
98, 1065066
99, 560546
127, 263
140, 192
168, 819
169, 314
176, 1707519
177, 2239563
178, 2212016
179, 2144658
180, 1691678
181, 1542319
182, 1515258
183, 1466267
184, 1318485
185, 1211295
186, 1076312
187, 701245
215, 263
228, 192
256, 819
257, 314
264, 1407829
265, 2252103
266, 2209010
267, 2173150
268, 1741859
269, 1542725
270, 1539280
271, 1470995
272, 1321092
273, 1251906
274, 1080226
275, 836440
303, 263
316, 192
344, 819
345, 314
352, 1107673
353, 2271201
354, 2222387
355, 2190669
356, 1779226
357, 1540462
358, 1564388
359, 1475159
360, 1354505
361, 1241327
362, 1113272
363, 966346
391, 263
404, 192
432, 819
433, 314
440, 796045
441, 2293879
442, 2264692
443, 2188265
444, 1841441
445, 1537278
446, 1555539
447, 1489458
448, 1372536
449, 1239845
450, 1145704
451, 1024543
452, 77390
479, 263
492, 192
520, 281
521, 852
528, 509994
529, 2272708
530, 2288860
531, 2198320
532, 1901931
533, 1563993
534, 1549863
535, 1494913
536, 1386060
537, 1273703
538, 1162037
539, 1024896
540, 199337
567, 263
580, 192
609, 1133
616, 229011
617, 2256893
618, 2284326
619, 2210643
620, 1966175
621, 1603276
622, 1531481
623, 1513006
624, 1401386
625, 1283337
626, 1180209
627, 1051933
628, 314939
655, 263
669, 192
697, 1133
705, 2201623
706, 2264125
707, 2208733
708, 2052614
709, 1622723
710, 1550579
711, 1503276
712, 1428072
713, 1299523
714, 1181944
715, 1063187
716, 450216
743, 1
