days, analyzer.msrcambridge.prxy_1.csv, analyzer.msrcambridge.hm_1.csv, analyzer.iozone.csv, analyzer.msrcambridge.mds_1.csv, retention_in_days.csv, analyzer.msrcambridge.prxy_0.csv, analyzer.msrcambridge.mds_0.csv, analyzer.msrcambridge.prn_0.csv, analyzer.msrcambridge.proj_2.csv, analyzer.web-vm.csv, analyzer.msrcambridge.proj_3.csv, analyzer.websearch.csv, analyzer.msrcambridge.proj_4.csv, analyzer.mail.csv, analyzer.homes.csv, analyzer.postmark.csv, analyzer.msrcambridge.prn_1.csv, analyzer.msrcambridge.hm_0.csv, analyzer.cello.csv, analyzer.msrcambridge.proj_1.csv, analyzer.msrcambridge.proj_0.csv, 
1, 525459153, 1279478, 247020, 437696, 0, 407762, 106166, 1796532, 147141285, 398567, 6768377, 18827896, 371458, 12416373, 940325, 1552377, 15360551, 3665969, 2061480461, 62235333, 903755, 
2, 12130539, 129624, 390069, 51, 0, 121593, 32238, 236617, 93203655, 215687, 1201343, 263, 127503, 2511994, 261801, 481131, 1811040, 330029, 151603581, 2819246, 324617, 
3, 11836967, 161111, 452825, 212147, 0, 112123, 19015, 60363, 62575553, 165320, 95659, 192, 4096, 3501321, 412956, 846269, 1430446, 272572, 117935363, 1793828, 84417, 
4, 12029496, 71886, 434786, 11022504, 0, 106937, 404506, 227907, 40325281, 72024, 350088, 16007676, 57333, 3273613, 24798, 605034, 3531771, 390169, 50188226, 2112788, 198604, 
5, 11800923, 129012, 473366, 70207, 0, 81000, 14868, 419635, 24450781, 52801, 176339, 2820096, 30700, 1931551, 95053, 455651, 10168841, 307170, 32185692, 2169253, 215447, 
6, 11781570, 60007, 334843, 158160, 0, 72709, 8547, 220531, 18896457, 38210, 177353, 455, 20740967, 2993909, 14884, 500108, 2595867, 143075, 34767118, 5508264, 225083, 
7, 11152575, 472906, 476957, 26804, 0, 106711, 16918, 301857, 49621932, 152641, 125832, 819, 43698, 3122752, 15433, 147431, 4757184, 206207, 22826221, 46748037, 161525, 
8, 10336500, 8188, 531616, 95318, 0, 51992, 9524, 221049, 33528386, 57965, 612305, 18826929, 27262, 2982583, 71276, 19006, 2467754, 104241, 43330448, 45801468, 173204, 
9, 10149288, 19487, 488795, 22, 0, 56663, 8984, 171508, 1134, 179449, 173810, 263, 27233, 3135219, 100610, 64624, 726681, 107638, 13532514, 291369, 226684, 
10, 9972349, 28511, 406315, 123423, 0, 59210, 3544, 23383, 1262, 589, 53710, 192, 0, 1058775, 13193, 62374, 568068, 75202, 12423636, 1212, 18365, 
