retention_in_hour,count
0, 7825520
1, 3582602
2, 2177836
3, 1578850
4, 1170145
5, 996061
6, 822126
7, 722121
8, 664126
9, 596579
10, 568054
11, 530510
12, 482873
13, 584099
14, 426972
15, 449727
16, 398067
17, 467499
18, 521831
19, 527266
20, 391226
21, 350469
22, 236949
23, 227056
24, 353647
25, 75029
26, 84901
27, 100269
28, 100237
29, 114494
30, 60354
31, 65499
32, 59777
33, 60687
34, 278716
35, 150638
36, 105366
37, 280066
38, 390285
39, 41083
40, 41662
41, 42622
42, 37525
43, 41648
44, 32290
45, 78816
46, 54062
47, 31970
48, 35827
49, 26798
50, 28482
51, 53679
52, 83626
53, 105537
54, 36476
55, 31856
56, 28486
57, 27496
58, 29077
59, 41635
60, 41011
61, 101857
62, 56639
63, 19115
64, 23751
65, 24576
66, 24426
67, 22413
68, 24067
69, 644938
70, 35414
71, 29605
72, 977238
73, 42206
74, 14784
75, 58744
76, 106334
77, 61036
78, 11252
79, 10167
80, 11401
81, 9556
82, 9459
83, 10425
84, 9858
85, 8996
86, 8507
87, 8774
88, 374063
89, 133370
90, 9485
91, 9490
92, 15942
93, 14060
94, 13012
95, 9940
96, 10838
97, 7819
98, 4331
99, 18380
100, 74195
101, 46550
102, 10419
103, 7754
104, 6645
105, 30430
106, 12524
107, 14896
108, 10801
109, 8881
110, 14966
111, 12503
112, 14759
113, 11201
114, 45102
115, 12784
116, 9600
117, 13491
118, 7866
119, 7615
120, 7409
121, 8297
122, 4955
123, 34850
124, 57205
125, 51218
126, 23736
127, 6750
128, 18114
129, 34156
130, 13636
131, 10087
132, 6944
133, 8961
134, 5873
135, 7375
136, 6948
137, 6200
138, 7413
139, 9289
140, 9241
141, 9752
142, 8943
143, 89361
144, 10441
145, 3410
146, 23156
147, 42802
148, 33911
149, 24934
150, 3815
151, 4613
152, 7783
153, 6205
154, 5297
155, 9308
156, 8415
157, 4078
158, 5170
159, 5752
160, 3869
161, 21926
162, 3725
163, 16085
164, 3754
165, 3322
166, 3551
167, 19988
