retention_in_hour,count
0, 62826
10001, 25997
20001, 3
20002, 22456
30001, 1
30002, 1
30003, 35899
40003, 5
40004, 10659
50002, 1
50003, 3
50005, 3508
60002, 1
60005, 2
60006, 1923
70001, 1
70007, 57694
80006, 1
80008, 23476
90009, 26714
100010, 85187
110003, 2
110011, 12975
120012, 8407
130001, 2
130013, 9948
140001, 2
140005, 1
140014, 13673
150002, 1
150005, 2
150009, 1
150015, 28533
160001, 2
160003, 2
160009, 3
160016, 40967
170001, 25
170010, 1
170013, 3
170015, 7
170016, 39
170017, 4646
180001, 14
180002, 1
180003, 9
180008, 1
180013, 2
180014, 6
180015, 7
180016, 58
180017, 6
180018, 111452
190001, 10
190003, 1
190012, 1
190014, 3
190015, 1
190016, 4
190017, 30
190019, 30117
200003, 14
200005, 1
200016, 4
200017, 6
200018, 10
200019, 6
200020, 26564
210003, 2
210005, 1
210019, 1
210021, 56270
220003, 1
220004, 2
220005, 2
220006, 2
220014, 1
220017, 1
220018, 2
220020, 7
220021, 3
220022, 29537
230005, 2
230008, 1
230021, 2
230023, 52029
240000, 30
240002, 1
240005, 3
240006, 384
240021, 8
240024, 12898
250025, 156
260017, 1
260026, 431
270027, 257
280028, 211
290027, 2
290029, 119
300015, 1
300028, 6
300030, 134
310016, 1
310020, 2
310026, 1
310029, 3
310031, 8075
320017, 2
320032, 251
330009, 1
330033, 259
340003, 1
340034, 343
350017, 1
350035, 72
360017, 2
360036, 417
370014, 1
370037, 52
380017, 1
380038, 3002
390017, 1
390021, 1
390039, 239
400040, 164705
410041, 39659
420014, 2
420016, 30
420017, 3
420042, 5744
430002, 1
430015, 1
430016, 45
430017, 3
430019, 1
430043, 722
440017, 3
440018, 5
440044, 913
450000, 1
450001, 1
450007, 1
450018, 5
450019, 5
450045, 661
460004, 1
460008, 1
460016, 6
460017, 2
460018, 3
460020, 1
460021, 2
460045, 2
460046, 1250
470001, 53
470002, 4
470013, 10
470015, 6
470016, 51
470018, 1
470020, 2
470021, 10
470046, 122
470047, 2676
480000, 1
480001, 16
480002, 1
480003, 1
480004, 9
480014, 2
480016, 1
480017, 112
480018, 3
480019, 4
480020, 2
480021, 1
480045, 1
480046, 10
480048, 615
490001, 1
490003, 1
490015, 1
490017, 2
490018, 8
490049, 106
500003, 1
500017, 1
500018, 1
500041, 1
500050, 239
510051, 98
520004, 3
520006, 2
520017, 3
520021, 6
520052, 187
530053, 12
540046, 3
540054, 20
550055, 1709
560056, 26693
570057, 17394
580043, 1
580058, 298429
590043, 2
590059, 2123
600060, 4098
610043, 2
610046, 1
610061, 295
620045, 12
620062, 25133
630041, 3
630045, 156
630046, 1
630047, 10
630061, 2
630063, 728
640045, 1
640046, 4
640062, 1
640064, 16958
650065, 106
660066, 82
670016, 1
670067, 44
680047, 1
680068, 17
690039, 1
690069, 5002
700070, 347
710047, 70
710071, 195
720048, 33
720072, 1370
730073, 260
740074, 26
750075, 238
760058, 1
760076, 99
770026, 2
770077, 257
780078, 34
790063, 1
790079, 437
800047, 1
800080, 24
810081, 202
820047, 1
820082, 50
830083, 10243
840084, 1110
850000, 5
850047, 33
850048, 6
850061, 1
850063, 5
850085, 782
860024, 1
860056, 1
860084, 1
860086, 106
870047, 3
870061, 1
870087, 151
880047, 5
880088, 318
890041, 1
890044, 1
890047, 3
890061, 2
890089, 91
900090, 28
910091, 2
920047, 5
920092, 2
930045, 4
930046, 398
930047, 162
930062, 3
930093, 1193
940094, 306
950043, 1
950046, 1
950047, 172
950048, 1
950095, 29
960096, 635
970075, 3
970097, 3368
980098, 3755
990099, 9
1000100, 9
1010101, 13
1020102, 8
1030103, 65892
1040104, 9
1050105, 14049
1060106, 114
1070008, 2
1070107, 14
1080108, 29
1090109, 136
1100110, 70
1110111, 15
1120112, 33
1130113, 8
1140114, 3
1150115, 1269
1160116, 387
1170117, 32
1190119, 12
1200120, 24
1220122, 600
1230123, 222
1240124, 5
1250125, 291
1260126, 2
1270127, 28
1280128, 58
1290129, 1
1300130, 2
1310131, 1
1320132, 173
1330133, 3618
1340134, 91
1350135, 60
1360136, 3467
1370137, 19
1380138, 259
1390139, 20
1400140, 11
1410071, 2
1410141, 33
1420057, 4
1420080, 5
1420142, 49
1430143, 3
1440144, 5
1460146, 293
1470147, 12
1480148, 8
1500150, 146
1510151, 4691
1520152, 3
1540154, 8
1550155, 3
1560156, 67
1570157, 15
1580158, 124
1590159, 205
1600160, 1020
1610161, 8
1620162, 639
1630163, 13
1640164, 9
1650165, 15
1660166, 40
1670167, 7
