retention_in_hour,count
0, 274
10001, 1234
20002, 1975
30003, 3672
40004, 4984
50005, 6257
60006, 7844
70007, 8931
80008, 9744
90009, 8499
100010, 9865
110011, 13183
120012, 13082
130013, 15099
140014, 3785
150015, 11319
160016, 12939
170017, 11457
180018, 15136
190019, 14580
200020, 9513
210021, 15474
220022, 17972
230023, 16175
240024, 14027
250025, 18091
260026, 16360
270027, 13482
280028, 13419
290029, 13288
300030, 14953
310031, 17453
320032, 19624
330033, 19021
340034, 21260
350035, 20588
360036, 17549
370037, 12644
380038, 22920
390039, 19479
400040, 17614
410041, 19303
420042, 13103
430043, 11391
440044, 12644
450045, 9010
460046, 15880
470047, 17285
480048, 13708
490049, 15881
500050, 20902
510051, 19177
520052, 22532
530053, 22029
540054, 22505
550055, 20393
560056, 24360
570057, 21637
580058, 19013
590059, 18538
600060, 8274
610061, 22933
620062, 23428
630063, 18859
640064, 13676
650065, 26250
660066, 22412
670067, 20931
680068, 19597
690069, 19016
700070, 9092
710071, 9990
720072, 11400
730073, 10924
740074, 15174
750075, 9252
760076, 9958
770077, 8364
780078, 18547
790079, 11876
800080, 17633
810081, 23974
820082, 17864
830083, 19243
840084, 15978
850085, 23073
860086, 20102
870087, 16970
880088, 26019
890089, 21506
900090, 24294
910091, 23845
920092, 20392
930093, 19398
940094, 19364
950095, 24646
960096, 16390
970097, 27109
980098, 18439
990099, 19713
1000100, 23076
1010101, 19338
1020102, 25107
1030103, 25602
1040104, 6955
1050105, 10277
1060106, 8310
1070107, 27541
1080108, 26883
1090109, 17163
1100110, 26760
1110111, 25991
1120112, 12643
1130113, 8451
1140114, 18309
1150115, 25098
1160116, 20998
1170117, 23552
1180118, 24458
1190119, 15051
1200120, 16542
1210121, 18723
1220122, 26639
1230123, 19331
1240124, 9569
1250125, 12966
1260126, 12998
1270127, 8964
1280128, 13059
1290129, 7238
1300130, 12588
1310131, 13088
1320132, 19779
1330133, 13284
1340134, 12675
1350135, 12616
1360136, 9732
1370137, 12581
1380138, 8292
1390139, 18472
1400140, 20588
1410141, 15331
1420142, 12167
1430143, 15778
1440144, 8385
1450145, 24419
1460146, 21351
1470147, 18226
1480148, 18018
1490149, 7780
1500150, 22374
1510151, 18766
1520152, 22112
1530153, 16034
1540154, 16967
1550155, 26052
1560156, 17378
1570157, 16707
1580158, 21192
1590159, 15300
1600160, 22985
1610161, 20617
1620162, 17857
1630163, 25056
1640164, 18214
1650165, 25095
1660166, 24416
1670167, 24709
1680168, 32
