retention_in_hour,count
0, 452894
10000, 43173
10001, 1010445
20000, 7288
20001, 5409
20002, 427785
30000, 5323
30001, 1160
30002, 142
30003, 282833
40000, 11317
40001, 181
40002, 47
40003, 44
40004, 111311
50000, 370
50001, 130
50002, 306
50003, 55
50004, 52
50005, 26366
60000, 352
60001, 109
60002, 59
60003, 70
60004, 17
60005, 51
60006, 20096
70000, 481
70001, 103
70002, 22
70003, 38
70004, 19
70005, 23
70006, 29
70007, 45053
80000, 3707
80001, 486
80002, 79
80003, 19
80004, 18
80005, 8
80006, 18
80007, 15
80008, 46879
90000, 328
90001, 197
90002, 58
90003, 23
90004, 25
90005, 8
90006, 4
90007, 15
90008, 10
90009, 54148
100000, 3469
100001, 119
100002, 59
100003, 31
100004, 8
100005, 2
100006, 74
100007, 3
100008, 12
100009, 38
100010, 97086
110000, 446
110001, 250
110002, 62
110003, 34
110004, 15
110005, 6
110006, 8
110007, 3
110008, 8
110009, 91
110010, 18
110011, 30054
120000, 509
120001, 310
120002, 74
120003, 22
120004, 7
120005, 2
120006, 19
120007, 4
120008, 6
120009, 10
120010, 11
120011, 9
120012, 86921
130000, 345
130001, 47
130002, 29
130003, 3
130004, 96
130005, 7
130006, 4
130007, 2
130008, 2
130009, 28
130010, 69
130011, 8
130012, 21
130013, 60584
140000, 123
140001, 65
140002, 28
140003, 8
140004, 9
140005, 4
140006, 6
140007, 3
140008, 8
140009, 3
140010, 24
140011, 11
140012, 6
140013, 11
140014, 17727
150000, 422
150001, 49
150002, 19
150003, 61
150004, 7
150005, 6
150006, 5
150007, 12
150008, 1
150009, 14
150010, 11
150011, 544
150012, 3
150013, 11
150014, 13
150015, 28776
160000, 156
160001, 39
160002, 27
160003, 56
160004, 2
160005, 9
160006, 2
160007, 3
160008, 5
160009, 73
160010, 4
160011, 68
160012, 3
160013, 5
160014, 8
160015, 15
160016, 5542
170000, 142
170001, 115
170002, 779
170003, 12
170004, 4
170005, 4
170006, 3
170007, 6
170008, 6
170009, 10
170010, 1
170011, 2512
170012, 2
170013, 18
170014, 1
170015, 4917
170016, 9
170017, 54526
180000, 191
180001, 177
180002, 24
180003, 4
180004, 11
180005, 3
180006, 6
180007, 9
180008, 5
180009, 8
180010, 6
180011, 2
180012, 13
180013, 2
180014, 3
180015, 1
180016, 5
180017, 15
180018, 14136
190000, 4269
190001, 50
190002, 824
190003, 191
190004, 9
190005, 4
190007, 3
190008, 7
190009, 1
190010, 3
190011, 1
190012, 7
190013, 7
190014, 2
190015, 3
190016, 11
190017, 4
190018, 1
190019, 69228
200000, 1632
200001, 822
200002, 22
200003, 11
200004, 3
200005, 6
200006, 7
200007, 3
200008, 7
200009, 2
200010, 19
200012, 1
200013, 5
200014, 5
200015, 515
200016, 1
200017, 165
200018, 11
200019, 4
200020, 148708
210000, 158
210001, 223
210002, 48
210003, 5
210004, 9
210005, 4
210006, 5
210007, 8
210008, 4
210009, 25
210010, 5
210011, 4
210012, 4
210013, 7
210015, 7
210016, 8
210017, 6
210018, 2
210019, 38
210020, 8
210021, 4533
220000, 210
220001, 62
220002, 18
220003, 13
220004, 23
220005, 2
220006, 6
220007, 2
220008, 7
220009, 3
220010, 2
220011, 3
220012, 1
220013, 3
220014, 9
220015, 104
220016, 1
220017, 2
220018, 1
220019, 7
220020, 3
220021, 2
220022, 104014
230000, 111
230001, 39
230002, 21
230003, 20
230004, 1
230005, 1
230006, 8
230007, 2
230008, 6
230009, 4
230010, 13
230011, 4
230012, 4
230013, 1
230014, 3
230015, 25
230016, 7
230017, 2
230018, 2
230019, 2
230020, 1
230021, 16
230022, 1
230023, 197725
240000, 476
240001, 104
240002, 82
240003, 175
240004, 19
240005, 6
240006, 4
240007, 30
240008, 61
240009, 282
240010, 23
240011, 2
240012, 1
240013, 143
240014, 20
240015, 3
240016, 30
240017, 3
240018, 2
240019, 26
240020, 12
240021, 22
240022, 17
240023, 24
240024, 50706
250000, 300
250001, 255
250002, 26
250003, 11
250004, 50
250005, 6
250006, 1
250007, 20
250008, 38
250009, 53
250010, 7
250011, 16
250012, 2
250013, 13
250014, 1
250015, 16
250016, 3
250017, 7
250018, 1
250019, 50
250020, 16
250021, 5
250022, 12
250023, 5
250024, 230
250025, 43696
260000, 66
260001, 40
260002, 15
260003, 5
260004, 7
260005, 1
260006, 7
260008, 1
260009, 6
260010, 2
260011, 4
260012, 10
260013, 9
260014, 1
260015, 12
260016, 10
260017, 6
260018, 23
260019, 44
260020, 5
260022, 1
260023, 3
260024, 190
260025, 15
260026, 397128
270000, 2017
270001, 27
270002, 11
270003, 5
270004, 8
270005, 7
270006, 4
270007, 27
270008, 3
270009, 1
270010, 2
270011, 5
270012, 8
270013, 4
270014, 2
270015, 6
270016, 10
270017, 6
270018, 1
270019, 14
270020, 11
270021, 2
270022, 3
270023, 28
270024, 9
270025, 13
270026, 15
270027, 387066
280000, 84
280001, 13
280002, 16
280003, 12
280004, 2
280005, 7
280006, 1
280007, 1
280008, 1
280009, 5
280011, 18
280012, 1
280013, 1
280014, 3
280015, 78
280016, 6
280018, 1
280019, 25
280020, 27
280021, 1
280022, 2
280023, 1
280024, 14
280025, 10
280027, 3
280028, 285572
290000, 1572
290001, 15
290002, 8
290003, 3
290004, 45
290005, 1
290006, 10
290007, 3
290008, 8
290009, 9
290010, 7
290011, 8
290012, 4
290013, 11
290014, 5
290015, 20
290016, 6075
290017, 6
290018, 1
290019, 76
290020, 3
290021, 55
290022, 1
290023, 1
290024, 14
290025, 14
290026, 1
290027, 1
290028, 11
290029, 13885
300000, 102
300001, 11
300002, 45
300003, 7
300004, 3
300005, 2
300006, 2
300007, 9
300009, 3
300010, 769
300011, 2
300012, 3
300014, 2
300015, 4
300016, 2
300018, 1
300019, 6
300021, 3
300022, 1
300023, 24
300024, 3
300025, 4
300026, 2
300027, 2
300028, 14
300029, 37
300030, 2608
310000, 66
310001, 10
310002, 6
310003, 9
310004, 21
310005, 1
310006, 1
310007, 2
310008, 3
310009, 8
310010, 1
310011, 5
310012, 1
310013, 3
310014, 3
310015, 7
310016, 38
310017, 2
310018, 5
310019, 5251
310020, 1
310021, 1
310023, 2
310024, 8
310025, 5
310028, 1
310029, 35
310030, 12
310031, 5908
320000, 113
320001, 28
320002, 34
320003, 1
320004, 2959
320006, 3
320007, 4
320008, 2
320009, 1
320010, 31
320011, 1
320012, 3
320013, 1
320014, 6
320015, 4
320016, 2
320017, 2
320018, 2
320019, 1
320022, 1
320023, 6
320024, 8
320025, 8
320026, 2
320027, 1
320028, 3
320029, 1
320030, 3
320031, 11
320032, 24862
330000, 193
330001, 45
330002, 17
330003, 1
330004, 3
330005, 4
330007, 1
330008, 1
330009, 4
330010, 1
330011, 1
330012, 1
330013, 3
330014, 3
330015, 5
330016, 2
330018, 1
330020, 5
330021, 4
330022, 2
330023, 3
330024, 48
330025, 7
330026, 6
330027, 1
330028, 1
330029, 2
330031, 2
330032, 15
330033, 693
340000, 265
340001, 97
340002, 24
340003, 3
340004, 5
340005, 18
340006, 12
340007, 3
340008, 4
340009, 11
340010, 4
340011, 2
340012, 2
340013, 10
340014, 1
340015, 4
340016, 2
340017, 305
340020, 3
340021, 5
340022, 2
340024, 22
340025, 9
340027, 1
340028, 1
340031, 2
340032, 7
340033, 4
340034, 26695
350000, 238
350001, 230
350002, 8
350003, 3
350004, 14
350005, 1
350006, 2
350007, 1
350008, 2
350009, 8
350010, 2
350011, 1
350014, 7
350015, 2
350016, 321
350017, 1
350019, 1
350020, 1
350021, 3
350023, 7
350024, 4
350025, 5
350027, 1
350028, 1
350029, 1
350032, 2
350033, 2
350034, 21
350035, 25257
360000, 364
360001, 339
360002, 12
360003, 3
360004, 2
360005, 4
360006, 2
360008, 3
360009, 5
360010, 3
360011, 7
360012, 6
360013, 9
360014, 1
360015, 11
360016, 1
360017, 145
360018, 2
360019, 15
360020, 3
360023, 1
360024, 12
360025, 5
360026, 2
360027, 1
360031, 1
360032, 2
360034, 6
360035, 10
360036, 5716
370000, 185
370001, 112
370002, 8
370003, 13
370004, 4
370007, 3
370008, 7
370009, 1
370010, 13
370011, 1
370012, 4
370013, 9
370014, 2
370015, 2
370018, 2
370019, 1
370021, 1
370022, 1
370023, 1
370024, 10
370025, 9
370027, 1
370028, 1
370032, 5
370033, 2
370035, 5
370036, 3
370037, 20676
380000, 35
380001, 47
380002, 18
380003, 1
380004, 12
380006, 1
380007, 1
380012, 2
380013, 4
380015, 3
380016, 2
380017, 7
380018, 3
380019, 1
380020, 1
380021, 1
380022, 3
380023, 3
380024, 14
380025, 5
380027, 2
380028, 2
380034, 1
380035, 1
380036, 9
380037, 3
380038, 22772
390000, 54
390001, 19
390002, 13
390003, 2
390004, 1
390005, 2
390007, 4
390009, 17
390010, 3
390012, 1
390013, 2
390014, 2
390015, 11
390017, 103
390018, 1
390019, 2
390020, 12
390022, 97
390023, 1
390024, 12
390025, 6
390027, 3
390029, 1
