retention_in_hour,count
0, 58280
1, 31706
2, 13206
3, 11293
4, 13250
5, 18667
6, 25832
7, 18666
8, 15095
9, 12630
10, 5766
11, 7566
12, 12616
13, 4898
14, 8194
15, 21073
16, 7121
17, 2714
18, 2289
19, 1332
20, 1437
21, 5384
22, 4908
23, 3807
24, 13434
25, 2872
26, 862
27, 365
28, 761
29, 582
30, 1787
31, 2553
32, 710
33, 791
34, 284
35, 529
36, 2172
37, 4035
38, 2887
39, 2582
40, 822
41, 5939
42, 3664
43, 1689
44, 968
45, 8670
46, 1033
47, 750
48, 1104
49, 335
50, 283
51, 185
52, 375
53, 853
54, 1248
55, 1085
56, 1554
57, 2886
58, 2233
59, 956
60, 5200
61, 2480
62, 4424
63, 5424
64, 3605
65, 6595
66, 3038
67, 1161
68, 695
69, 13978
70, 2820
71, 1106
72, 3244
73, 867
74, 30
75, 88
76, 171
77, 82
78, 946
79, 654
80, 137
81, 109
82, 116
83, 239
84, 1570
85, 3296
86, 1367
87, 918
88, 325
89, 4258
90, 6538
91, 2253
92, 7708
93, 7025
94, 6467
95, 999
96, 1502
97, 1143
98, 294
99, 16091
100, 27798
101, 20095
102, 1426
103, 783
104, 1025
105, 1649
106, 4515
107, 10402
108, 1010
109, 3236
110, 1441
111, 665
112, 15
113, 5036
114, 1130
115, 3432
116, 93
117, 4058
118, 5457
119, 475
120, 4
121, 236
122, 102
123, 456
124, 221
125, 5043
126, 563
127, 429
128, 186
129, 3474
130, 8725
131, 9978
132, 1681
133, 415
134, 55
135, 964
136, 231
137, 6330
138, 48
139, 262
140, 27
141, 2155
142, 49
143, 256
144, 57
145, 868
146, 2266
147, 1159
148, 438
149, 7184
150, 41239
151, 86451
152, 875
153, 270
154, 23555
155, 9550
156, 16874
157, 81638
158, 80451
159, 84695
160, 644
161, 116
162, 1239
163, 901
164, 1192
165, 7055
166, 1736
