retention_in_hour,count
0, 206574
1, 67584
2, 162061
3, 15066
4, 27964
5, 7619
6, 2161
7, 2649
8, 3360
9, 2551
10, 4224
11, 2131
12, 2733
13, 1297
14, 6527
15, 3327
16, 9586
17, 9608
18, 7670
19, 7529
20, 2498
21, 22038
22, 2439
23, 4407
24, 12130
25, 4290
26, 142327
27, 5108
28, 4123
29, 2923
30, 746
31, 3666
32, 616
33, 1028
34, 3290
35, 158
36, 605
37, 183
38, 1561
39, 987
40, 1157
41, 3259
42, 535
43, 604
44, 259
45, 8686
46, 410
47, 312
48, 358
49, 1637
50, 569
51, 493
52, 2962
53, 854
54, 165
55, 691
56, 98
57, 270
58, 2972
59, 211
60, 383
61, 237
62, 1598
63, 2165
64, 913
65, 3066
66, 221
67, 647
68, 168
69, 8480
70, 312
71, 2202
72, 548
73, 284
74, 141513
75, 817
76, 2657
77, 656
78, 243
79, 423
80, 109
81, 481
82, 3488
83, 114
84, 57
85, 427
86, 2129
87, 2050
88, 304
89, 4853
90, 3868
91, 5980
92, 5777
93, 23563
94, 1103
95, 172
96, 3259
97, 1757
98, 121
99, 4284
100, 2920
101, 9423
102, 313135
103, 948
104, 1724
105, 2032
106, 2853
107, 593
108, 834
109, 420
110, 5789
111, 524
112, 2203
113, 13226
114, 5391
115, 2545
116, 1128
117, 15089
118, 2846
119, 4529
120, 1854
121, 2294
122, 130407
123, 2901
124, 2955
125, 717
126, 1683
127, 181
128, 46
129, 217
130, 2543
131, 17
132, 114
133, 142
134, 1675
135, 3087
136, 3845
137, 8814
138, 3367
139, 16529
140, 2534
141, 17325
142, 2119
143, 1919
144, 1160
145, 1668
146, 127891
147, 2925
148, 3671
149, 4304
150, 385
151, 11948
152, 483
153, 1089
154, 1494
155, 8
156, 29
157, 69617
158, 1664
159, 1527
160, 332
161, 5336
162, 5743
163, 2244
164, 9246
165, 16998
166, 12962
167, 617
