retention_in_hour,count
0, 52531
1, 52148
2, 124568
3, 15964
4, 11382
5, 4907
6, 4218
7, 6746
8, 4388
9, 11398
10, 4730
11, 6707
12, 2150
13, 5753
14, 2521
15, 2153
16, 1983
17, 5216
18, 1458
19, 2356
20, 1670
21, 10322
22, 2084
23, 12308
24, 3875
25, 1056
26, 3239
27, 3707
28, 7413
29, 1173
30, 209057
31, 461
32, 204
33, 605
34, 2137
35, 569
36, 542
37, 190
38, 1870
39, 866
40, 4929
41, 322
42, 236
43, 281
44, 1468
45, 580
46, 4107
47, 399
48, 5921
49, 362
50, 542
51, 2653
52, 1518
53, 859
54, 831
55, 437
56, 142
57, 322
58, 966
59, 620
60, 328
61, 187
62, 1456
63, 1250
64, 6258
65, 158
66, 3372
67, 60
68, 691
69, 342
70, 110
71, 8360
72, 389
73, 552
74, 101188
75, 7245
76, 2633
77, 1847
78, 401
79, 55
80, 1140
81, 1165
82, 140
83, 80
84, 214
85, 1419
86, 7334
87, 476
88, 8794
89, 5354
90, 4932
91, 4085
92, 4060
93, 2552
94, 9603
95, 8051
96, 3155
97, 10587
98, 103887
99, 3583
100, 3392
101, 8504
102, 2221
103, 1472
104, 1769
105, 1767
106, 1531
107, 5416
108, 1464
109, 1722
110, 3371
111, 1733
112, 2065
113, 13576
114, 4943
115, 1758
116, 1718
117, 1616
118, 2320
119, 12850
120, 1314
121, 724
122, 103700
123, 4032
124, 3994
125, 2897
126, 3830
127, 4685
128, 10120
129, 2224
130, 105
131, 54
132, 4722
133, 11559
134, 8209
135, 6825
136, 8563
137, 12803
138, 14297
139, 4165
140, 13
141, 397
142, 277
143, 28
144, 14
145, 374
146, 101952
147, 9651
148, 1020
149, 5114
150, 285
151, 1459
152, 9474
153, 5868
154, 24
155, 324
156, 115
157, 1012
158, 1485
159, 39
160, 175
161, 2875
162, 354
163, 135
164, 346
165, 1187
166, 280
167, 4290
