retention_in_hour,count
0, 24039
1, 32423
2, 3384
3, 18744
4, 10043
5, 1154
6, 1120
7, 2218
8, 1254
9, 5479
10, 2523
11, 14111
12, 1154
13, 852
14, 2237
15, 686
16, 933
17, 3655
18, 361
19, 2733
20, 239
21, 10629
22, 3557
23, 173
24, 4223
25, 12824
26, 309
27, 52
28, 914
29, 8917
30, 326
31, 1214
32, 247
33, 13198
34, 9151
35, 436
36, 221
37, 1607
38, 5492
39, 458
40, 394
41, 1097
42, 4613
43, 301
44, 1723
45, 1696
46, 4230
47, 14853
48, 108
49, 536
50, 5179
51, 1251
52, 180
53, 499
54, 4358
55, 2727
56, 153
57, 574
58, 4349
59, 84
60, 28
61, 318
62, 1390
63, 430
64, 5852
65, 2207
66, 12145
67, 129
68, 522
69, 711
70, 847
71, 17620
72, 2476
73, 8834
74, 6176
75, 21304
76, 8943
77, 10404
78, 3393
79, 955
80, 490
81, 2495
82, 2471
83, 25
84, 8669
85, 410
86, 1286
87, 249
88, 1665
89, 819
90, 17
91, 5
92, 11892
93, 341
94, 301
95, 546
96, 25
97, 15967
98, 20
99, 1562
100, 978
101, 31
102, 175
103, 858
104, 3
105, 10581
106, 995
107, 3
108, 6
109, 308
110, 2625
111, 207
112, 27
113, 8169
114, 735
115, 31
116, 17
117, 273
118, 13442
119, 8672
120, 9
121, 1980
122, 9
123, 10719
124, 2
125, 227
126, 709
127, 783
128, 13
129, 543
130, 1144
131, 2
132, 2791
133, 288
134, 1083
135, 10
136, 3
137, 641
139, 1
141, 24
142, 8965
143, 14878
144, 6176
145, 882
146, 310
147, 16464
149, 213
150, 230
151, 895
152, 15510
153, 8341
154, 2245
156, 10
157, 409
158, 1114
159, 11
160, 1008
161, 12882
162, 12
163, 405
165, 840
166, 191
167, 22
