retention_in_hour,count
0, 16863
10000, 1
10001, 496
20002, 69
30003, 458
40004, 48610
50005, 470
60000, 1
60006, 525
70000, 11
70001, 3
70002, 1
70003, 3
70005, 6
70006, 2
70007, 3519
80000, 119
80001, 1
80002, 198
80005, 10
80006, 5
80007, 15
80008, 8975
90004, 3
90009, 286
100010, 742
110000, 2
110004, 1
110007, 5
110011, 56044
120012, 1139
130013, 31
140014, 196
150000, 15
150007, 55
150008, 6
150009, 3
150010, 1
150011, 7
150013, 7
150014, 1
150015, 7215
160001, 7
160008, 18
160009, 3
160010, 5
160016, 95
170017, 513
180018, 675
190011, 17
190014, 1
190015, 1
190018, 1
190019, 36443
200020, 601
210021, 11
220022, 1255
230017, 1
230023, 424
240017, 22
240018, 1
240024, 27065
250008, 2
250017, 4
250018, 240
250022, 1
250025, 5651
260026, 10
270027, 76
280028, 2801
290029, 34542
300030, 15608
310031, 141
320032, 84
330018, 19
330024, 2
330033, 3
340019, 2
360025, 1
360036, 141152
370037, 95
380038, 96
390025, 5
390039, 6
400040, 2
410041, 3
420024, 1
420033, 2
420042, 2
430043, 771
440044, 2
450045, 19
460046, 3
470024, 86
470047, 3
480024, 125
480048, 18
490024, 9
490049, 6
500050, 17
510013, 4
510051, 79
520052, 406
530024, 71
530053, 16072
540024, 21
540035, 2
540040, 1
540054, 14
550024, 2
550025, 1
550047, 3
550055, 305
560056, 107
570024, 1
570049, 2
570057, 2
580049, 1
580058, 14
590025, 1
590059, 442
600024, 1
600060, 146159
610061, 472
620062, 13
630063, 5
640064, 3
650065, 66
660024, 1
660066, 238
670067, 4
680068, 3
690069, 19
710071, 6
720024, 4
730024, 1
730073, 1241
740074, 14
750075, 39
770024, 71
770077, 26117
780024, 21
780063, 1
780078, 136
790024, 3
790079, 632
800080, 97
810024, 1
810081, 5
820082, 5
830083, 4
840084, 42970
850085, 4
860086, 1
870087, 39
880088, 3
960024, 1
960096, 1
980098, 8
990099, 9
1000100, 229
1010024, 71
1010101, 24145
1020024, 21
1020102, 9
1030024, 3
1030103, 582
1040104, 17
1050105, 2
1060106, 3
1070107, 4
1080108, 26205
1090109, 16
1100110, 52
1110111, 31
1130113, 139
1140114, 260
1170117, 288
1200120, 29
1210121, 1
1220122, 7
1230123, 3
1240124, 354
1250024, 71
1250125, 13037
1260024, 21
1260126, 3
1270024, 2
1270127, 403
1280128, 96
1290129, 2
1300130, 2
1310131, 2
1320132, 23128
1330133, 4
1340134, 4
1350135, 204
1360136, 49
1370137, 12
1400140, 2
1420109, 5
1420127, 6
1420142, 8
1460146, 47
1470147, 4
1480148, 354
1490149, 15967
1500150, 61
1510151, 502
1520152, 11
1530153, 64
1540154, 2
1550155, 5
1560156, 134469
1570157, 21
1580158, 6
1590159, 12
1600160, 4
1610161, 243
1620162, 32
1630163, 43
1640164, 3
1650165, 2
1660166, 55
