retention_in_hour,count
0, 2253284
10000, 49
10001, 2278880
20000, 28
20001, 28
20002, 2214948
30000, 36
30001, 28
30003, 2030261
40000, 3
40001, 22
40004, 1618957
50000, 3
50001, 5
50005, 1544838
60001, 1
60006, 1503058
70007, 1424741
80008, 1295786
90009, 1178534
100010, 1062960
110011, 420452
380038, 263
520052, 192
800080, 1133
820082, 2
880088, 1991815
890089, 2250335
900090, 2214868
910091, 2086413
920092, 1638749
930093, 1564639
940094, 1516789
950095, 1429632
960096, 1313280
970097, 1194484
980098, 1065066
990099, 560546
1270127, 263
1400140, 192
