retention_in_day, read_interval_in_day, analyzer.cello.csv, analyzer.homes.csv, analyzer.iozone.csv, analyzer.mail.csv, analyzer.msrcambridge.hm_0.csv, analyzer.msrcambridge.hm_1.csv, analyzer.msrcambridge.mds_0.csv, analyzer.msrcambridge.mds_1.csv, analyzer.msrcambridge.prn_0.csv, analyzer.msrcambridge.prn_1.csv, analyzer.msrcambridge.proj_0.csv, analyzer.msrcambridge.proj_1.csv, analyzer.msrcambridge.proj_2.csv, analyzer.msrcambridge.proj_3.csv, analyzer.msrcambridge.proj_4.csv, analyzer.msrcambridge.prxy_0.csv, analyzer.msrcambridge.prxy_1.csv, analyzer.postmark.csv, analyzer.web-vm.csv, analyzer.websearch.csv, retention_in_day.csv, 
0, 0, 26652211, 795118, 247020, 3558413, 1006240, 321170, 34487, 186319, 597920, 5909348, 353536, 49599386, 76656062, 2149630, 107355, 147931, 130853300, 750100, 213279, 18826902, , 
1, 0, 1200174, 429, 0, 31442, 135657, 47906, 12583, 22, 182773, 758060, 57461, 430537, 12071803, 422012, 38485, 77462, 10645685, 4553, 482, 0, , 
1, 1, 1163649, 231110, 390069, 1782874, 27582, 506, 2910, 8, 4458, 260158, 193871, 231795, 6697463, 19192, 13617, 6922, 6216, 181361, 201096, 263, , 
2, 0, 577055, 31, 0, 14557, 96826, 65660, 4937, 73937, 26147, 521342, 23857, 48245, 8116338, 57126, 132, 54170, 10302000, 3675, 114, 0, , 
2, 1, 23389, 302, 0, 9838, 8289, 95, 34, 4248, 3777, 102061, 5731, 380978, 579808, 680, 448, 1726, 477, 5612, 8, 0, , 
2, 2, 1917754, 401388, 452825, 2662653, 10055, 9, 1392, 67418, 2655, 110906, 2625, 1128, 76, 5464, 8, 8671, 4314, 237018, 164455, 192, , 
3, 0, 142790, 6, 0, 11416, 219873, 46308, 30412, 51850, 64951, 2446692, 79459, 625885, 1428181, 157168, 35562, 89095, 10232721, 2855, 98, 0, , 
3, 1, 8125, 800, 0, 1852, 7412, 1, 193, 22068, 132220, 73871, 94051, 217293, 323797, 4149, 20739, 687, 284, 3537, 0, 0, , 
3, 2, 6275, 15, 0, 2697, 4084, 18, 964, 20381, 5452, 440661, 2297, 5081, 41634, 27111, 1, 1654, 1878, 15559, 1, 0, , 
3, 3, 814509, 16624, 434786, 2312830, 64964, 1342, 365277, 10858264, 1707, 208640, 668, 23592, 4320263, 100969, 39, 280, 16018, 148446, 71308, 16007655, , 
4, 0, 57535, 2, 0, 5080, 237514, 100457, 9494, 6038, 102932, 2099072, 193309, 987435, 4823923, 58967, 27841, 59354, 10366855, 451, 95, 0, , 
4, 1, 3848, 0, 0, 810, 2070, 0, 5, 33784, 127854, 356139, 149, 81, 257268, 515, 22, 1314, 1355, 2247, 0, 0, , 
4, 2, 1960, 0, 0, 815, 2919, 96, 1, 0, 396, 1278, 328, 31, 6, 3, 2, 475, 238, 7888, 0, 0, , 
4, 3, 2179, 3, 0, 796, 207, 43, 0, 0, 2005, 44854, 231, 1901, 9119874, 539, 0, 138, 1167, 5736, 0, 0, , 
4, 4, 345399, 89258, 473366, 1710252, 3864, 10677, 53, 1, 162982, 7323972, 562, 10154, 8513787, 113597, 11, 4413, 76061, 77458, 52028, 2820096, , 
5, 0, 54920, 0, 0, 4916, 107841, 41833, 3025, 10751, 201756, 2033489, 206916, 3574684, 2302224, 48781, 4554024, 47482, 11157926, 7, 94, 0, , 
5, 1, 2255, 0, 0, 1269, 1353, 110, 138, 1, 3385, 152429, 568, 2263, 498203, 983, 8879, 692, 779, 2223, 0, 0, , 
5, 2, 1760, 6, 0, 2412, 32, 0, 59, 147407, 379, 239, 17, 21, 48, 125, 0, 2038, 240, 6577, 0, 0, , 
5, 3, 988, 5, 0, 253, 19, 0, 10, 0, 183, 248, 10, 6676, 0, 187, 0, 21, 0, 6551, 0, 0, , 
5, 4, 1453, 0, 0, 24, 220, 0, 0, 0, 338, 1826, 231, 417440, 303445, 2, 24, 89, 253, 454, 5, 0, , 
5, 5, 388369, 9018, 334843, 2738042, 328, 0, 4, 1, 552, 111332, 495, 348546, 2065607, 119628, 16174932, 672, 13638, 110051, 37327, 455, , 
6, 0, 46374, 0, 0, 59, 121310, 450395, 10875, 5247, 273019, 2257977, 144508, 841573, 131251, 6701, 31839, 55312, 10611101, 0, 0, 0, , 
6, 1, 319, 0, 0, 97, 3273, 1, 387, 17, 2009, 197997, 1645, 276995, 2193, 2661, 6252, 1051, 1316, 0, 0, 0, , 
6, 2, 253, 0, 0, 8, 965, 1, 0, 0, 4030, 6361, 996, 11639, 15725, 12625, 0, 2118, 181, 0, 0, 0, , 
6, 3, 246, 0, 0, 77, 124, 0, 76, 2, 6, 271, 415, 77, 54535, 4435, 0, 3753, 52, 0, 0, 0, , 
6, 4, 105, 0, 0, 1, 12, 0, 0, 0, 230, 63, 148, 7849, 0, 0, 0, 14, 59, 0, 0, 0, , 
6, 5, 1014, 0, 0, 4, 13, 0, 0, 0, 1058, 9506, 81, 54423, 3935, 576, 0, 7, 171, 0, 0, 0, , 
6, 6, 216558, 7326, 461657, 2636329, 91, 0, 2, 12225, 3884, 625414, 45, 45323315, 122625, 55564, 10, 756, 5575, 142058, 151907, 0, , 
